i,initialCost,cost,steps,visited,time,permutation
0,94722,42730,7,7,1,16-18-6-9-13-4-8-10-15-12-14-3-1-5-11-2-17-7
1,56050,34652,7,7,1,13-1-4-2-6-18-14-12-11-17-7-16-10-9-8-5-3-15
2,86074,30484,9,9,1,8-13-11-16-2-15-9-6-1-18-4-12-3-7-10-5-14-17
3,95856,16638,15,15,3,9-3-4-8-11-18-13-15-17-14-5-12-2-7-10-1-6-16
4,86854,36970,10,10,2,15-12-18-16-1-6-17-14-3-13-9-4-8-5-10-11-7-2
5,71284,32114,9,9,2,16-7-5-6-9-14-13-17-11-3-1-18-10-12-15-4-8-2
6,79962,42072,8,8,1,1-13-18-7-14-16-6-12-9-5-8-3-15-10-4-11-2-17
7,75968,58530,3,3,0,13-16-3-12-15-1-7-6-11-2-18-9-4-10-14-5-8-17
8,86070,62840,4,4,0,10-9-1-16-17-18-5-13-15-6-8-4-2-7-11-14-12-3
9,68216,47218,6,6,1,9-12-4-5-17-2-15-11-3-14-8-6-1-7-10-13-16-18
10,45280,35432,2,2,0,5-2-14-12-11-10-7-16-15-9-1-4-18-8-6-3-17-13
11,78948,24502,10,10,1,15-3-9-1-10-6-5-13-7-2-18-11-12-16-14-17-8-4
12,71286,30800,7,7,1,8-14-13-7-12-10-5-1-9-4-16-3-15-2-17-11-6-18
13,56386,30814,10,10,1,7-3-16-9-12-8-10-17-15-13-5-4-2-18-14-1-6-11
14,75336,31114,5,5,0,13-6-2-14-8-7-18-11-15-4-1-16-5-10-3-9-12-17
15,53396,29210,3,3,0,7-8-13-2-1-17-4-12-9-14-11-5-16-15-3-18-10-6
16,67054,43520,5,5,0,7-12-1-16-8-2-17-14-11-6-3-10-13-5-15-4-9-18
17,39216,20490,4,4,0,4-11-3-5-12-18-8-9-13-10-1-14-6-2-17-15-7-16
18,68126,51054,4,4,0,15-4-5-6-18-1-13-8-16-3-7-9-14-2-17-11-12-10
19,110296,46728,9,9,1,18-9-4-8-3-17-2-14-16-11-6-13-7-5-15-12-10-1
20,77162,24250,10,10,1,10-9-13-16-15-5-1-17-11-7-12-2-3-18-4-6-14-8
21,95622,28774,9,9,1,18-7-4-15-14-1-12-10-5-17-8-9-6-11-3-16-13-2
22,65890,40192,9,9,1,7-8-11-14-13-2-3-16-6-15-17-18-12-5-9-4-10-1
23,73004,26116,7,7,1,11-9-7-2-17-6-13-16-18-1-14-15-4-10-3-8-12-5
24,85946,42016,8,8,1,3-4-11-15-5-17-1-6-16-14-8-2-13-10-9-7-18-12
25,64356,41404,4,4,0,2-1-14-6-7-12-15-16-13-18-10-5-11-4-8-17-3-9
26,66202,39190,4,4,0,1-5-17-13-9-15-12-14-7-16-18-2-8-6-11-3-10-4
27,80900,25758,12,12,2,2-3-12-6-17-9-4-11-8-10-5-7-18-15-14-16-1-13
28,82204,40510,9,9,1,3-6-13-16-5-9-1-2-14-8-17-4-11-10-12-15-7-18
29,86020,34168,7,7,1,15-18-7-4-3-14-13-1-2-10-17-11-9-5-6-12-16-8
30,78124,32278,6,6,1,2-12-6-13-16-9-7-18-10-17-11-4-14-8-5-3-1-15
31,93566,34114,8,8,1,9-11-7-5-6-15-14-10-16-17-8-12-4-3-13-2-1-18
32,62900,44426,2,2,0,11-15-12-9-8-13-5-10-1-2-4-17-16-7-14-18-3-6
33,68858,33740,9,9,1,5-14-8-18-16-4-12-2-13-10-3-7-11-1-17-15-9-6
34,88900,27122,13,13,2,1-16-12-17-5-14-2-6-8-15-18-7-9-10-11-13-4-3
35,84068,40040,9,9,1,4-3-10-5-13-14-8-18-11-9-6-2-12-16-15-7-1-17
36,75588,57932,4,4,0,9-17-6-2-10-14-3-1-5-18-11-4-7-15-13-8-12-16
37,51954,51432,2,2,0,14-11-6-3-18-2-15-12-7-8-17-10-9-16-4-1-13-5
38,75902,23656,12,12,2,16-11-12-8-2-5-18-1-3-4-9-17-10-14-7-13-15-6
39,77318,43786,6,6,1,8-9-18-2-10-12-5-17-4-13-3-15-16-1-14-6-11-7
40,67450,35740,8,8,1,17-11-9-6-7-12-18-5-1-3-8-14-13-10-4-15-2-16
41,74872,44700,5,5,0,3-4-6-8-14-17-13-18-16-10-7-12-2-9-11-1-5-15
42,57994,25172,8,8,1,9-8-18-11-14-3-4-1-2-10-17-5-16-15-6-13-12-7
43,78520,36968,9,9,1,18-14-8-9-3-11-10-7-1-6-5-2-4-12-15-16-13-17
44,92890,67716,3,3,0,11-2-17-12-18-5-13-4-16-1-9-14-6-7-15-8-10-3
45,79032,31108,6,6,1,8-16-13-17-2-9-18-1-3-4-12-5-15-14-7-11-10-6
46,71326,45010,6,6,1,9-13-10-8-5-11-12-14-2-18-16-7-15-1-17-6-4-3
47,77474,43522,4,4,0,17-11-15-5-3-13-8-7-1-18-9-10-16-12-6-14-2-4
48,78960,39818,6,6,1,15-3-6-9-14-12-5-8-4-10-2-11-16-1-7-18-13-17
49,75206,39540,8,8,1,4-1-3-5-11-13-17-15-18-10-9-14-7-8-16-2-6-12
50,84608,64670,4,4,0,8-4-10-16-17-3-12-6-2-18-5-11-15-14-9-7-13-1
51,92124,36198,8,8,1,8-14-4-7-11-10-3-2-15-1-16-5-6-18-17-9-12-13
52,71822,45994,4,4,0,12-15-8-1-18-13-5-3-16-14-11-17-6-4-2-9-10-7
53,94902,55680,5,5,0,6-9-16-5-7-18-13-8-11-1-4-3-17-14-15-12-2-10
54,99288,36396,8,8,1,18-11-6-9-7-13-3-12-1-14-17-16-10-4-2-8-15-5
55,71110,43674,4,4,0,13-16-18-3-10-12-17-8-2-7-9-5-14-6-4-11-15-1
56,59260,35038,8,8,1,16-17-1-2-18-6-13-5-4-10-12-15-3-8-7-14-11-9
57,68748,29194,6,6,1,15-7-4-3-6-12-10-2-13-5-17-18-8-1-9-11-16-14
58,53274,36554,7,7,1,13-8-5-10-4-3-18-17-14-6-1-16-12-7-9-15-11-2
59,92058,60654,5,5,0,2-8-12-11-17-13-15-3-18-6-9-10-1-4-16-5-14-7
60,81780,50664,3,3,0,7-11-2-12-13-15-8-17-16-14-3-6-10-9-1-4-18-5
61,78702,29100,12,12,2,16-9-4-12-17-14-6-15-11-5-1-10-8-7-3-13-18-2
62,73474,45914,6,6,1,7-11-10-14-9-2-8-12-13-16-3-6-17-5-1-4-15-18
63,77684,29400,8,8,1,4-18-3-16-14-10-8-12-17-13-6-11-1-5-2-7-15-9
64,104056,45762,9,9,1,12-13-5-10-11-16-3-8-15-6-9-4-1-18-14-2-7-17
65,77348,39130,7,7,1,18-15-10-4-5-6-11-9-3-7-2-14-12-17-1-13-16-8
66,68404,32490,7,7,1,1-7-13-14-11-16-3-8-15-12-5-6-18-10-9-4-2-17
67,82716,36346,6,6,1,13-14-3-5-8-6-4-10-17-12-15-16-2-11-9-1-18-7
68,61232,31016,8,8,1,13-15-11-3-4-10-9-7-8-2-17-14-6-5-1-16-18-12
69,80380,29176,7,7,1,15-5-3-7-4-18-11-9-12-13-1-17-6-2-16-8-10-14
70,87094,33244,10,10,1,16-9-18-12-15-4-5-11-1-10-6-17-8-7-2-14-13-3
71,84004,33080,10,10,1,11-10-16-7-12-18-6-17-9-4-8-15-13-14-5-2-1-3
72,72108,66304,2,2,0,3-17-10-5-11-4-15-9-2-6-8-12-16-13-1-18-14-7
73,79996,32448,12,12,2,18-16-11-12-10-14-5-7-1-9-8-17-15-4-6-13-2-3
74,87898,48800,4,4,0,12-6-15-11-13-17-14-10-16-3-9-1-2-8-5-4-7-18
75,83184,44026,4,4,0,7-14-15-11-2-3-13-18-16-12-9-1-8-17-10-4-6-5
76,71058,31278,8,8,1,7-9-6-14-10-3-11-16-2-5-12-17-18-13-1-4-15-8
77,68634,50106,4,4,0,7-6-2-11-10-13-4-1-18-14-12-5-3-15-8-9-17-16
78,73848,37040,8,8,1,8-12-18-14-1-7-11-6-3-10-9-2-16-5-4-13-17-15
79,62158,44060,2,2,0,13-9-12-4-7-3-18-14-15-8-10-2-17-6-11-5-16-1
80,89606,24536,8,8,1,16-9-4-8-10-11-5-17-2-14-12-18-3-7-1-6-13-15
81,72462,32558,8,8,1,1-7-18-11-8-15-6-13-9-17-4-3-16-12-10-2-5-14
82,87138,78570,2,2,0,18-14-1-9-3-12-17-13-11-7-5-4-6-16-15-10-2-8
83,75766,44656,4,4,0,11-5-9-14-2-12-3-18-1-8-4-6-16-10-13-17-15-7
84,92336,25200,11,11,2,2-15-4-11-13-6-1-16-12-14-7-10-18-8-9-17-5-3
85,81348,56430,4,4,1,4-11-7-8-18-5-6-9-16-12-1-15-17-10-13-14-3-2
86,100302,47158,6,6,1,6-15-8-11-17-4-1-14-2-12-5-7-3-18-9-13-16-10
87,79488,50700,6,6,1,11-6-1-12-8-17-7-16-13-18-3-4-14-10-2-5-15-9
88,59846,34274,8,8,1,2-7-6-4-8-13-18-17-15-5-9-10-3-14-11-1-12-16
89,69642,25138,7,7,1,9-10-7-4-11-3-17-15-2-18-5-6-16-8-14-13-12-1
90,79658,40842,10,10,1,7-8-2-1-10-11-12-16-17-13-5-9-18-6-15-14-4-3
91,101758,25876,11,11,1,16-4-6-12-5-9-17-1-11-14-7-18-2-3-8-13-10-15
92,93454,39896,8,8,1,6-16-18-11-15-7-9-17-12-14-2-1-5-8-4-13-3-10
93,91004,54480,3,3,0,1-12-11-5-3-4-2-10-6-8-13-14-18-15-7-17-16-9
94,83178,38838,9,9,1,15-2-1-3-10-14-4-8-17-5-9-7-18-12-16-11-6-13
95,79164,33942,9,9,1,17-2-7-4-12-8-3-9-6-5-15-10-13-14-18-16-1-11
96,79830,34218,8,8,1,11-8-2-4-17-10-13-9-16-12-6-15-1-7-18-3-5-14
97,83882,44978,8,8,1,13-10-15-3-14-17-9-8-2-5-7-11-6-4-1-16-18-12
98,74144,32144,8,8,1,15-2-6-3-5-1-7-13-16-14-17-12-9-10-18-8-11-4
99,90422,40118,7,7,1,10-5-15-11-8-14-7-16-9-18-1-17-4-2-12-3-6-13
100,95068,46704,6,6,1,15-16-13-18-3-9-10-1-5-4-17-14-8-7-12-11-6-2
101,85768,28042,11,11,1,17-11-3-13-2-6-4-12-1-16-8-7-9-5-18-15-14-10
102,75894,48996,5,5,0,5-10-1-8-11-16-14-9-15-4-7-3-13-12-2-6-17-18
103,75832,35458,7,7,1,15-11-6-1-14-12-13-5-18-7-8-10-9-3-4-17-2-16
104,87864,37826,5,5,0,7-18-10-16-14-3-17-15-11-13-6-1-12-2-9-4-8-5
105,83842,58242,4,4,0,16-12-15-4-11-3-10-2-8-14-1-18-5-7-13-9-17-6
106,56066,30530,4,4,0,11-9-6-2-18-3-15-16-4-17-13-5-1-10-7-8-12-14
107,70102,40456,10,10,1,14-11-18-15-1-17-9-4-7-5-3-8-16-2-10-13-6-12
108,54972,28798,10,10,1,7-18-12-16-14-3-2-15-11-13-9-1-8-17-5-4-10-6
109,66326,39382,5,5,0,3-2-14-8-11-5-10-9-13-18-17-6-4-15-16-1-7-12
