i,cost,steps,visited,time,permutation
0,19000,28,1532,6,4-8-16-11-5-13-1-3-6-15-12-2-18-14-17-7-10-9
1,24474,23,768,6,15-14-4-3-5-13-12-6-18-1-7-9-8-10-2-11-17-16
2,17322,31,1285,6,3-9-11-8-13-15-1-16-18-4-12-2-14-10-7-6-5-17
3,19540,23,1268,5,11-17-18-1-3-4-12-13-6-2-10-8-16-5-7-15-14-9
4,18502,36,881,10,9-3-17-1-4-15-16-7-8-14-5-13-10-2-11-6-12-18
5,15592,33,1273,6,4-1-6-9-13-11-17-16-18-12-3-8-10-5-14-2-7-15
6,18574,31,1182,6,1-4-8-16-18-6-5-15-12-13-7-3-11-17-9-14-2-10
7,24618,20,529,4,15-7-5-4-18-1-17-16-13-8-14-12-3-10-11-6-9-2
8,18844,22,1180,4,6-5-11-8-4-13-12-7-18-10-15-9-2-14-16-1-3-17
9,23482,20,762,3,16-9-2-4-3-8-15-5-14-7-12-18-17-1-10-13-6-11
10,15516,27,1568,5,11-9-16-2-1-13-15-3-4-10-6-14-18-5-7-12-8-17
11,22306,41,1220,7,8-9-13-12-4-16-1-3-7-10-6-2-15-5-17-11-14-18
12,20100,33,997,6,12-11-16-15-5-13-6-3-7-17-8-9-1-18-10-2-14-4
13,19016,27,1011,5,9-3-15-16-13-14-12-8-4-18-1-10-11-17-7-6-5-2
14,19612,24,865,4,12-17-16-15-2-18-14-7-4-11-3-10-13-1-8-9-6-5
15,21742,20,881,3,8-1-16-13-17-9-3-5-15-14-2-6-18-10-11-4-7-12
16,14530,25,1059,4,11-17-13-9-6-4-15-1-3-12-10-8-16-2-5-18-14-7
17,19050,33,765,6,9-13-4-7-10-8-3-17-15-14-16-6-1-18-11-2-12-5
18,17446,23,1118,4,12-8-1-2-18-17-4-16-13-10-11-7-3-14-5-6-9-15
19,16636,24,1286,4,16-5-6-14-11-2-4-15-8-10-3-7-9-17-12-13-18-1
20,20362,19,693,3,2-10-4-16-13-8-1-12-9-18-5-11-7-14-6-17-15-3
21,21108,30,982,5,16-17-1-3-7-6-13-8-11-5-12-10-2-4-14-18-15-9
22,13602,22,1143,4,11-4-16-2-12-5-15-9-6-1-7-17-13-18-3-8-14-10
23,14090,29,1435,5,9-13-1-17-15-3-12-11-8-14-16-6-2-18-10-7-4-5
24,20242,17,938,3,16-12-3-11-2-14-18-7-4-15-5-10-6-1-17-9-13-8
25,18000,18,681,3,11-6-16-9-2-18-8-1-4-12-10-14-3-13-5-15-17-7
26,17698,34,1464,6,1-18-12-11-8-9-16-4-7-15-10-13-5-14-17-3-2-6
27,18662,25,1525,4,16-11-15-3-6-1-13-9-12-7-8-10-17-5-4-18-14-2
28,20178,30,729,5,8-3-12-5-13-10-1-16-18-7-6-2-17-9-4-15-11-14
29,22946,22,928,4,4-3-1-5-17-13-12-15-11-14-6-10-16-2-8-18-7-9
30,21160,23,985,4,13-8-9-4-7-2-16-3-5-10-17-18-12-6-14-11-15-1
31,14564,24,1035,4,11-4-1-16-13-2-7-12-9-18-3-14-17-5-10-15-8-6
32,20720,22,1110,4,4-8-11-14-18-15-7-16-6-12-1-10-13-2-9-5-3-17
33,16004,18,801,3,11-2-3-5-12-17-8-9-7-10-1-15-13-6-14-16-18-4
34,19692,20,994,3,16-8-1-11-15-4-18-5-17-14-6-13-2-3-10-12-9-7
35,17480,15,901,2,16-2-11-14-12-15-13-6-9-10-4-17-3-8-5-1-18-7
36,20082,22,1127,4,9-13-2-16-7-15-14-4-8-18-3-17-10-1-5-12-6-11
37,17558,23,1046,4,12-3-15-11-8-1-7-16-18-14-5-4-13-17-10-9-6-2
38,16324,22,1089,4,4-11-6-9-13-3-8-16-18-12-15-10-1-17-14-2-7-5
39,16272,33,1694,6,9-1-4-11-13-14-3-16-18-15-2-6-7-8-17-12-10-5
40,18878,25,911,4,13-16-2-17-15-1-9-11-6-5-18-12-8-14-3-4-7-10
41,23566,14,423,2,4-14-17-3-6-16-12-2-9-5-10-7-15-1-13-11-8-18
42,16982,24,1116,4,4-9-13-6-3-15-8-1-2-10-12-17-16-5-14-18-7-11
43,19902,18,655,3,7-15-11-14-12-8-17-6-9-10-16-4-3-18-5-1-2-13
44,21666,25,798,4,16-7-2-11-15-9-5-3-17-14-4-13-1-8-12-18-10-6
45,14394,38,1634,7,3-9-16-4-8-13-6-15-11-7-12-5-18-17-10-2-1-14
46,14486,25,1133,5,9-2-18-11-8-5-6-4-7-15-1-10-16-14-17-13-12-3
47,13546,41,1440,8,9-16-1-4-8-5-13-11-15-7-18-10-3-2-17-6-12-14
48,15382,30,1373,6,11-4-3-7-18-12-15-16-13-10-6-17-1-5-14-2-8-9
49,16194,26,985,5,9-1-4-8-11-18-13-14-15-10-3-12-7-5-17-2-6-16
50,23474,25,912,5,12-11-4-8-5-2-14-3-13-18-15-10-7-17-16-6-9-1
51,23542,28,837,5,6-5-16-18-10-8-12-17-15-14-7-9-2-13-11-1-3-4
52,23428,25,890,4,11-17-14-18-16-3-8-4-13-12-10-1-6-7-9-15-2-5
53,18974,24,1097,4,9-11-1-3-7-16-15-4-17-5-8-13-2-14-10-12-6-18
54,18380,22,890,4,16-2-4-8-11-9-5-15-17-10-1-12-7-14-6-13-18-3
55,18714,40,2130,7,15-13-9-12-7-2-8-3-4-10-14-11-6-5-17-16-18-1
56,17324,25,1495,4,9-13-16-15-2-7-6-1-3-11-14-10-18-17-8-12-5-4
57,18732,26,1103,4,8-2-9-13-5-17-11-3-10-16-1-15-12-6-18-4-7-14
58,21832,26,1086,4,15-3-12-7-4-5-1-13-8-10-18-2-9-16-17-6-11-14
59,14952,30,961,5,9-3-1-15-11-16-6-8-14-17-7-13-2-4-10-5-12-18
60,16286,21,1006,3,1-4-9-12-18-8-3-16-15-10-7-5-6-13-17-2-14-11
61,14516,28,1713,5,9-18-11-15-2-4-6-3-1-17-14-12-8-5-10-16-13-7
62,18678,24,949,4,15-6-9-16-18-7-8-1-2-13-3-11-12-5-10-17-14-4
63,17366,25,768,4,15-8-9-13-7-6-11-2-1-16-5-14-12-4-18-17-10-3
64,19332,28,853,5,1-13-9-10-7-6-14-4-8-5-15-2-12-17-3-16-18-11
65,16170,26,1067,4,1-18-15-11-12-17-3-9-6-8-16-5-4-13-10-7-2-14
66,16866,21,1141,3,11-13-9-12-7-16-8-4-1-5-14-18-6-10-3-15-17-2
67,19008,23,972,4,18-2-9-6-15-13-10-11-17-3-1-16-8-12-5-4-7-14
68,20870,20,771,3,16-5-15-9-12-11-18-7-4-6-3-14-2-17-10-1-13-8
69,19726,19,1232,3,11-16-12-4-5-9-15-3-1-7-18-17-14-10-2-13-8-6
70,18698,25,890,4,8-1-16-6-9-3-11-12-17-10-2-14-18-13-5-4-7-15
71,18014,20,944,3,16-4-8-11-15-1-13-9-12-14-7-18-6-17-10-3-5-2
72,18570,25,795,4,4-6-9-15-18-3-2-16-13-11-14-1-12-17-8-7-10-5
73,16996,11,580,2,1-13-9-16-17-4-3-15-11-18-12-5-6-10-8-2-14-7
74,17312,23,766,4,1-13-11-16-7-15-3-4-14-18-9-5-8-12-17-2-10-6
75,20548,27,1343,5,16-5-1-3-6-10-13-15-9-17-8-18-2-11-12-7-4-14
76,16680,22,681,4,1-16-11-8-12-14-3-9-6-4-13-2-15-10-7-17-18-5
77,22768,20,866,3,1-11-12-18-10-7-3-6-17-16-8-5-9-14-13-2-15-4
78,16808,22,1078,4,9-4-15-16-13-5-6-2-1-18-7-10-11-17-14-8-12-3
79,19846,20,1011,3,1-11-9-12-5-13-7-3-18-10-15-4-6-17-14-2-8-16
80,13552,38,1640,7,16-9-11-4-2-8-6-1-3-7-12-18-15-14-5-17-13-10
81,17974,24,774,4,3-6-4-9-13-8-15-16-18-12-14-17-2-7-10-1-5-11
82,20700,19,1177,3,16-13-12-9-5-11-17-1-3-6-10-14-4-2-8-7-18-15
83,19712,22,939,4,16-8-2-4-5-17-13-3-6-7-12-15-1-14-10-18-11-9
84,19086,37,1669,6,11-9-16-13-7-18-12-4-17-5-6-8-1-10-3-2-15-14
85,24298,27,939,5,7-6-3-5-17-2-9-15-13-18-8-12-1-11-16-4-10-14
86,18920,30,1293,5,15-13-4-9-12-8-14-2-1-6-7-11-18-10-3-16-17-5
87,21624,26,1203,5,1-9-4-8-18-11-2-16-5-10-12-14-7-13-17-6-3-15
88,14630,34,1591,6,9-13-15-17-2-11-6-1-3-10-4-14-18-7-5-16-12-8
89,21404,19,465,3,11-9-6-5-2-13-7-1-18-10-12-17-14-3-16-8-15-4
90,14236,29,1363,5,16-1-11-4-12-15-13-9-6-7-2-5-8-14-10-18-3-17
91,17160,32,1432,6,11-13-12-9-5-10-15-3-1-6-16-8-14-18-2-7-4-17
92,19726,24,893,4,11-4-18-7-12-16-15-9-1-5-14-17-6-10-3-8-2-13
93,15306,32,1663,6,7-1-11-15-13-3-2-16-9-17-14-5-8-18-12-4-10-6
94,16888,28,1360,5,16-12-3-11-15-5-18-17-7-8-1-10-6-2-4-9-13-14
95,20048,19,1298,3,11-10-12-1-3-4-5-13-16-2-9-8-17-6-18-15-14-7
96,18412,23,1208,4,11-16-1-7-14-3-13-12-9-10-18-8-2-4-6-15-17-5
97,19522,28,1079,5,9-8-13-16-10-1-6-17-5-18-4-2-15-7-14-11-12-3
98,15800,19,834,3,11-6-12-9-13-7-8-16-18-10-3-2-17-5-14-15-1-4
99,19024,28,1109,5,13-6-9-12-14-7-16-8-11-17-5-18-2-10-15-1-3-4
