i,initialCost,cost,steps,visited,time,permutation
0,63412,17268,27,919,6,15-14-4-7-12-5-13-9-6-10-1-16-8-2-17-11-18-3
1,73140,22720,26,597,7,4-18-1-2-12-3-16-13-9-17-14-7-15-10-6-11-8-5
2,75494,20292,20,1331,5,1-11-15-7-12-17-3-13-9-4-8-5-16-10-18-2-14-6
3,95156,13906,37,1510,8,9-3-4-8-11-16-6-15-17-10-1-13-7-2-14-5-12-18
4,49132,17332,21,1123,4,9-7-13-16-11-3-2-15-8-18-10-6-17-14-5-12-4-1
5,80436,15520,30,1446,6,11-9-13-6-3-7-8-1-2-10-12-14-16-5-18-15-17-4
6,85278,23876,21,518,4,3-7-13-14-6-11-17-12-9-2-4-15-16-10-1-18-5-8
7,65808,19944,17,753,3,13-15-9-7-5-10-16-3-1-4-11-18-12-6-2-17-14-8
8,88564,12680,23,1164,4,9-1-7-4-8-3-12-11-15-10-2-6-18-14-17-16-13-5
9,77244,20310,19,693,3,1-6-15-11-14-18-9-13-7-8-17-12-5-10-4-3-2-16
10,75218,20162,17,586,3,15-18-9-12-4-6-11-7-8-10-3-2-13-5-17-16-1-14
11,71504,21612,24,876,4,7-17-12-9-13-5-4-8-16-6-1-10-11-2-18-15-14-3
12,91778,18892,29,977,5,9-18-15-4-8-5-6-14-1-7-10-12-17-11-2-16-13-3
13,75146,16548,33,1053,6,15-4-1-2-18-3-9-16-13-10-7-12-8-14-5-11-17-6
14,85634,17448,35,1319,7,1-4-16-18-12-8-3-9-15-10-7-5-6-13-17-2-14-11
15,81944,15962,26,1514,5,16-1-6-9-15-3-4-11-8-12-2-7-14-17-10-18-13-5
16,62118,16604,22,771,4,13-7-11-4-2-8-9-1-3-5-10-12-15-14-17-16-18-6
17,85318,14292,29,1471,6,11-4-9-6-18-3-15-16-2-10-7-17-12-13-1-8-14-5
18,84532,17022,23,756,4,11-2-9-13-16-12-8-3-18-7-1-14-6-5-4-15-17-10
19,92904,18806,28,1319,5,1-11-9-13-7-6-5-4-10-16-8-3-17-12-18-15-2-14
20,104378,18456,25,747,5,8-1-4-7-12-18-11-9-13-10-3-15-14-6-5-2-17-16
21,73816,21874,22,706,4,4-8-16-9-12-13-7-17-5-6-11-10-18-15-3-1-2-14
22,88522,22704,27,924,5,1-3-6-10-7-9-5-4-8-14-16-12-15-18-11-17-2-13
23,76506,24620,27,683,5,4-8-9-16-18-17-11-14-5-13-6-7-2-12-10-1-3-15
24,72698,17316,24,1232,4,11-4-3-7-18-1-12-16-13-10-6-2-17-5-14-15-8-9
25,92882,17246,28,937,5,15-8-16-1-3-18-11-9-6-2-13-17-12-5-10-7-4-14
26,83336,16716,36,1667,7,16-9-11-8-4-14-13-17-1-5-6-10-15-7-3-12-18-2
27,86114,20194,31,1313,6,9-17-4-18-2-8-15-3-1-16-14-6-7-5-13-12-10-11
28,75536,19774,12,467,2,11-17-9-6-3-13-1-5-18-7-14-2-12-10-4-8-15-16
29,91238,18856,32,1568,7,1-11-4-14-18-6-12-16-13-5-8-17-7-10-3-2-15-9
30,87862,12320,30,1319,6,13-12-1-4-8-3-9-11-15-7-10-6-2-14-17-16-18-5
31,77082,18072,36,1416,7,18-6-9-12-8-3-4-11-2-14-17-7-13-15-5-16-10-1
32,76190,15596,23,576,4,1-4-15-12-9-18-3-6-13-10-7-5-11-17-14-8-2-16
33,65672,18028,19,920,3,16-3-1-2-8-10-13-11-15-14-7-18-9-4-12-6-5-17
34,71264,16402,30,1080,6,16-1-11-4-12-8-2-6-9-7-3-18-15-5-14-17-13-10
35,79926,20242,22,984,4,2-3-7-6-18-17-11-16-13-9-5-15-4-10-12-1-14-8
36,78342,19488,28,948,5,15-1-4-18-9-7-2-13-12-16-3-10-8-6-14-11-17-5
37,79138,17382,34,1319,7,15-13-6-3-1-9-11-2-14-5-7-8-18-4-10-16-17-12
38,71454,20734,17,874,3,4-8-9-12-17-5-7-18-16-10-11-2-6-15-13-3-1-14
39,73684,17152,20,827,4,16-2-15-11-12-7-13-9-6-8-5-18-17-14-10-1-3-4
40,72566,16414,27,1135,5,9-13-16-18-15-7-12-11-8-14-5-10-1-17-2-3-6-4
41,67962,12944,22,1413,4,11-4-9-13-1-12-15-3-2-16-7-17-6-5-18-8-14-10
42,68388,18122,20,971,4,16-8-11-15-12-5-4-6-9-2-14-7-3-17-1-18-13-10
43,81644,19700,29,1064,5,16-7-3-5-12-17-13-9-11-14-1-10-6-2-15-4-18-8
44,72248,19942,26,1248,5,15-8-4-7-2-6-12-13-1-5-14-17-16-10-3-18-11-9
45,91122,17344,19,649,3,15-3-6-9-13-1-11-16-18-12-5-14-7-10-2-4-17-8
46,87732,16414,27,1275,5,9-14-11-15-2-7-6-3-1-17-8-10-16-5-18-13-12-4
47,81080,17792,26,1235,5,16-1-8-4-17-9-3-15-5-7-2-6-11-10-14-13-18-12
48,80224,19090,23,821,4,1-12-13-11-15-14-5-17-7-8-9-3-16-6-4-18-2-10
49,97132,20774,21,560,4,7-16-11-13-9-14-3-6-2-10-8-5-15-12-17-18-4-1
50,41268,19050,15,874,3,12-5-16-3-15-13-4-11-8-1-18-7-6-17-2-9-10-14
51,69254,21744,19,694,3,1-4-13-16-17-6-7-15-5-18-8-10-9-11-3-12-2-14
52,75304,13174,32,1335,6,9-18-1-15-11-3-12-8-4-17-10-6-2-14-7-16-13-5
53,65058,18306,25,1742,5,3-16-13-11-15-9-5-17-7-8-18-6-2-14-4-1-10-12
54,78186,19356,26,1075,5,1-11-16-18-10-13-3-7-6-12-15-5-4-14-9-8-2-17
