i,cost,steps,visited,time,permutation
0,19054,8,1224,2,9-1-7-10-13-4-3-16-11-17-2-6-5-18-15-12-14-8
1,19374,10,1530,2,16-12-1-10-7-2-18-4-17-14-11-13-3-8-5-6-9-15
2,20398,14,2142,2,5-9-13-16-11-7-14-15-1-18-12-10-17-8-2-6-3-4
3,18534,10,1530,2,11-14-13-16-18-6-15-2-1-5-4-17-9-7-3-12-8-10
4,16630,11,1683,2,18-3-9-6-8-13-5-11-4-10-17-16-12-15-7-1-2-14
5,20610,12,1836,2,4-1-15-3-6-17-2-12-9-5-8-7-18-11-10-16-13-14
6,17552,10,1530,2,7-1-6-18-15-3-14-11-8-16-2-10-9-17-13-12-4-5
7,18706,13,1989,2,4-1-16-13-9-10-3-6-11-17-2-5-18-12-15-7-8-14
8,21232,10,1530,1,4-14-17-13-16-9-7-2-1-5-10-12-15-18-3-11-8-6
9,18360,8,1224,1,13-11-15-2-7-14-9-4-5-1-8-12-17-10-3-16-18-6
10,20180,8,1224,1,16-13-9-12-4-2-3-7-11-14-17-1-6-10-8-18-5-15
11,16462,12,1836,2,1-6-11-15-17-8-3-18-16-14-9-5-7-12-10-4-2-13
12,20890,5,765,1,16-13-9-6-3-15-18-2-1-8-10-17-12-5-11-7-4-14
13,20842,10,1530,3,6-1-4-11-15-13-12-17-18-8-3-9-7-5-10-2-14-16
14,20954,10,1530,3,7-9-11-13-17-2-6-5-3-16-14-10-8-15-18-4-12-1
15,21370,8,1224,2,2-13-11-4-5-15-1-3-14-7-16-17-6-8-10-9-12-18
16,18748,7,1071,2,16-9-8-5-2-4-13-15-1-10-6-7-11-17-14-12-18-3
17,20424,18,2754,3,4-1-3-11-8-18-7-9-13-15-5-10-6-12-17-2-14-16
18,22846,14,2142,2,17-9-13-16-18-14-15-3-8-7-6-10-1-5-4-2-12-11
19,14556,11,1683,2,11-1-6-9-13-3-15-16-18-12-4-17-10-7-14-2-8-5
20,17956,11,1683,2,15-16-7-13-9-4-11-12-6-10-1-8-14-2-5-18-17-3
21,24072,9,1377,1,3-18-7-4-8-14-1-12-9-10-15-2-13-11-6-16-5-17
22,15956,15,2295,3,9-16-7-4-11-2-6-15-3-10-18-14-17-8-5-13-12-1
23,17438,10,1530,2,18-5-6-9-15-2-4-11-8-12-3-7-13-17-14-16-10-1
24,18110,11,1683,2,9-11-7-10-13-1-6-16-18-5-15-12-4-17-3-8-14-2
25,19120,13,1989,2,16-17-8-5-2-9-14-1-10-3-7-13-11-4-6-15-18-12
26,15510,14,2142,2,12-17-11-15-18-3-9-16-13-2-14-6-8-10-1-4-7-5
27,16752,9,1377,1,13-12-3-15-11-5-16-8-4-17-2-18-6-1-7-9-14-10
28,23406,10,1530,2,8-11-12-14-18-9-3-16-13-2-15-5-7-17-1-4-10-6
29,22090,14,2142,3,9-11-13-16-5-15-6-3-1-18-4-10-14-7-2-8-12-17
30,14288,13,1989,3,9-13-16-4-15-1-6-11-17-7-14-3-18-8-10-12-5-2
31,17916,9,1377,2,1-13-9-16-8-12-4-11-15-18-3-7-14-6-17-2-10-5
32,21184,8,1224,1,4-12-8-1-3-11-17-16-18-2-10-7-13-5-14-9-6-15
33,20746,12,1836,3,1-10-16-18-14-13-6-15-12-7-8-3-17-11-4-2-5-9
34,20196,16,2448,4,11-18-16-4-7-13-15-2-6-5-12-17-1-10-3-14-8-9
35,15546,11,1683,2,13-6-7-17-15-2-16-8-11-10-3-18-4-5-14-9-12-1
36,17484,13,1989,4,7-9-6-17-15-3-2-11-8-10-12-1-16-14-18-13-4-5
37,20454,10,1530,1,9-13-16-10-14-7-6-8-11-17-2-3-18-1-15-12-5-4
38,21080,11,1683,2,15-1-16-3-5-13-11-14-12-6-18-17-7-10-9-4-2-8
39,16404,12,1836,2,15-1-16-4-12-8-3-9-6-7-18-11-13-14-10-2-17-5
40,18144,11,1683,2,13-6-15-11-8-2-9-4-7-14-5-1-18-17-10-16-3-12
41,18390,11,1683,2,18-5-15-17-12-11-2-9-4-10-14-1-13-6-7-16-3-8
42,24678,8,1224,1,1-17-15-11-8-6-13-12-4-14-5-16-9-10-3-2-18-7
43,15246,10,1530,2,15-8-1-16-13-2-4-9-12-18-3-7-14-6-10-11-17-5
44,15322,13,1989,3,11-4-1-13-9-17-8-6-12-16-5-15-2-3-18-7-14-10
45,17576,8,1224,1,1-4-8-11-12-5-6-13-9-15-7-3-16-14-17-18-2-10
46,18502,11,1683,2,4-6-8-11-16-14-7-13-18-15-9-5-2-12-17-1-3-10
47,19730,8,1224,2,11-1-5-3-13-10-15-16-12-6-2-8-14-18-9-7-4-17
48,15484,12,1836,3,9-6-1-3-15-18-13-11-8-5-14-12-2-17-10-7-4-16
49,16550,12,1836,2,3-12-11-8-4-15-9-7-13-18-14-6-2-10-16-1-5-17
50,18476,13,1989,3,1-15-7-16-12-5-2-9-6-18-17-14-4-13-3-8-11-10
51,16274,8,1224,2,3-16-9-8-11-12-1-15-17-4-13-2-6-14-7-18-5-10
52,22744,11,1683,2,16-17-15-12-9-14-13-4-7-1-3-10-11-6-2-8-18-5
53,14762,11,1683,2,16-3-1-4-8-12-13-15-11-7-6-10-2-17-14-5-18-9
54,18152,14,2142,2,9-14-15-17-2-18-13-1-4-10-5-12-11-3-7-8-6-16
55,18684,9,1377,1,12-6-16-3-5-18-11-4-7-1-17-8-13-10-2-9-14-15
56,19366,11,1683,2,4-9-16-13-8-3-12-11-2-14-17-10-18-15-1-6-7-5
57,16666,17,2601,4,9-13-16-15-11-5-6-8-1-17-10-12-18-14-2-4-7-3
58,21144,12,1836,2,4-1-16-3-6-13-7-15-11-5-12-10-18-9-8-2-14-17
59,21786,10,1530,2,3-4-15-16-18-9-1-14-2-13-7-6-11-17-10-8-5-12
60,17708,11,1683,2,13-16-8-7-2-14-9-1-3-10-18-12-11-4-5-15-17-6
61,18546,13,1989,2,15-1-13-2-7-9-11-4-8-10-3-14-16-5-12-18-17-6
62,19362,13,1989,2,16-14-11-3-1-15-13-4-9-5-8-17-7-2-12-18-10-6
63,14506,13,1989,2,9-18-15-11-7-3-12-4-2-8-10-6-17-14-5-16-13-1
64,18976,9,1377,2,12-7-11-15-10-3-9-18-16-17-4-6-14-8-5-1-2-13
65,20248,11,1683,2,13-8-4-11-15-7-9-2-6-5-10-12-1-17-3-16-18-14
66,17674,13,1989,2,7-3-13-1-15-16-14-11-8-2-5-10-9-17-12-6-4-18
67,17552,12,1836,2,9-15-8-4-13-3-2-16-18-7-11-6-10-14-5-17-12-1
68,15588,18,2754,3,16-9-15-7-4-5-6-8-1-10-12-18-11-17-2-14-13-3
69,15672,13,1989,2,15-13-12-9-7-5-16-4-1-6-14-18-8-10-3-11-17-2
70,18578,15,2295,3,9-13-16-1-4-15-6-7-8-3-14-17-18-2-5-12-10-11
71,14530,14,2142,3,11-13-16-9-6-4-14-3-1-12-10-8-18-5-2-15-17-7
72,15264,10,1530,2,11-4-1-2-13-3-7-12-9-10-18-14-17-16-6-15-8-5
73,18492,12,1836,2,3-18-4-17-15-7-6-11-9-10-16-5-8-14-12-2-1-13
74,18082,12,1836,2,4-16-9-12-2-6-8-1-15-14-13-7-3-10-17-5-18-11
75,20436,9,1377,2,1-6-12-9-13-8-14-17-15-7-18-10-5-16-4-3-2-11
76,21926,13,1989,3,15-12-7-18-16-3-9-13-14-10-1-6-4-2-17-8-11-5
77,15958,13,1989,2,16-14-11-15-6-2-4-3-9-17-10-7-8-5-12-18-13-1
78,19618,11,1683,2,3-6-9-8-11-12-1-16-15-10-14-5-13-18-17-7-4-2
79,15448,10,1530,1,11-4-1-2-18-3-8-16-13-12-7-5-17-10-9-15-14-6
80,23282,9,1377,1,12-11-5-15-18-3-9-2-16-17-4-6-1-7-10-8-14-13
81,19750,13,1989,2,9-14-8-11-5-2-6-18-3-15-13-10-4-16-17-7-12-1
82,20014,9,1377,2,3-13-12-14-11-9-5-8-15-2-16-6-4-18-1-7-10-17
83,18950,10,1530,2,11-18-9-12-5-2-8-3-17-7-10-14-13-6-4-16-15-1
84,15420,14,2142,3,16-4-11-3-6-1-13-9-12-5-8-10-15-14-17-7-18-2
85,15100,14,2142,2,11-5-1-13-9-4-14-12-10-16-3-8-2-6-18-15-17-7
86,17518,13,1989,2,15-12-18-4-2-16-9-1-3-7-14-13-8-10-5-11-17-6
87,17366,11,1683,2,9-15-2-4-7-1-6-18-5-14-11-12-16-8-10-13-17-3
88,22466,10,1530,1,7-6-16-13-2-9-4-15-11-17-3-12-18-1-14-10-5-8
89,22506,10,1530,2,11-13-9-7-4-16-8-3-5-6-2-14-12-1-10-15-17-18
90,20294,9,1377,2,3-1-4-11-14-16-6-12-9-15-2-18-7-8-17-10-5-13
91,15448,12,1836,3,11-17-6-9-13-3-8-16-2-12-10-14-4-18-1-7-15-5
92,18046,13,1989,2,16-13-9-12-11-6-5-8-1-10-17-14-4-15-2-7-18-3
93,19282,12,1836,2,3-12-7-15-11-18-9-8-13-17-4-6-2-14-10-1-5-16
94,19222,12,1836,2,1-16-4-11-12-14-3-6-9-15-18-5-7-8-17-2-13-10
95,18396,12,1836,3,16-5-8-14-12-2-13-9-4-10-3-18-11-6-7-15-17-1
96,14616,13,1989,3,11-5-1-2-12-4-10-9-13-18-3-8-17-6-16-15-14-7
97,19804,9,1377,2,3-10-16-18-8-13-6-11-15-14-7-5-2-4-12-1-17-9
98,21356,12,1836,2,15-17-3-1-16-6-11-13-18-2-5-9-4-10-14-7-12-8
99,18738,13,1989,2,16-1-3-6-9-8-13-12-15-14-2-10-7-5-17-4-18-11
100,16888,9,1377,1,11-8-2-4-12-1-13-9-6-7-5-16-17-10-14-15-18-3
101,19086,12,1836,2,1-3-12-17-16-7-5-13-8-15-14-10-9-18-11-6-2-4
102,17104,10,1530,2,1-7-16-18-12-17-2-9-11-14-4-10-6-13-15-3-5-8
103,19722,10,1530,2,3-13-11-8-4-16-1-7-2-14-15-5-12-17-10-9-6-18
