i,initialCost,cost,steps,visited,time,permutation
0,66426,66426,0,0,0,8-9-2-7-4-17-15-18-16-12-10-5-11-3-13-6-1-14
1,88160,88160,0,0,0,6-17-14-5-2-1-10-11-18-4-16-9-3-8-13-12-7-15
2,80906,80906,0,0,0,17-18-4-3-1-11-15-14-5-13-16-12-10-7-2-6-8-9
3,77208,77208,0,0,0,3-16-10-6-7-12-15-4-18-11-5-14-17-8-1-13-2-9
4,83470,83470,0,0,0,15-16-8-6-4-9-18-13-12-11-3-14-2-10-1-17-5-7
5,73722,73722,0,0,0,8-18-7-16-3-10-13-12-15-4-2-11-1-5-17-14-6-9
6,66856,66856,0,0,0,5-11-10-7-1-4-3-2-18-15-14-9-8-13-17-6-12-16
7,49800,49800,0,0,0,6-1-3-12-18-2-7-16-11-8-17-9-10-13-5-14-4-15
8,66856,66856,0,0,0,11-10-6-17-18-1-5-7-2-12-14-8-4-13-3-15-16-9
9,35656,35656,0,0,0,5-9-18-12-4-8-1-15-17-14-16-3-11-7-10-6-13-2
10,91828,91828,0,0,0,14-1-12-6-16-13-9-17-3-10-4-7-5-2-18-15-11-8
11,75372,75372,0,0,0,11-15-17-13-4-14-1-5-12-7-9-2-6-10-18-16-8-3
12,80294,80294,0,0,0,2-9-5-14-11-18-8-7-13-1-17-12-3-10-6-4-15-16
13,71368,71368,0,0,0,11-10-16-17-1-13-12-3-8-9-15-18-7-2-14-4-6-5
14,76936,76936,0,0,0,14-8-5-6-10-3-11-18-12-7-2-9-13-4-17-1-15-16
15,66542,66542,0,0,0,16-3-13-9-15-17-5-2-4-1-11-14-6-12-8-10-7-18
16,66544,66544,0,0,0,9-2-11-4-14-16-7-10-17-15-12-13-5-8-3-6-18-1
17,81300,81300,0,0,0,16-6-13-15-8-10-3-17-1-18-9-12-11-7-4-5-2-14
18,66536,66536,0,0,0,18-14-3-11-4-15-16-17-8-9-2-13-6-10-7-5-1-12
19,76408,76408,0,0,0,7-1-5-2-3-14-9-6-10-11-13-12-18-15-4-8-16-17
20,91346,91346,0,0,0,10-7-8-2-4-12-17-15-18-16-6-3-1-5-9-11-13-14
21,63058,63058,0,0,0,10-14-11-9-3-12-2-4-5-13-16-17-7-6-18-15-8-1
22,78856,78856,0,0,0,18-1-11-8-12-2-15-6-17-3-5-13-4-16-9-14-7-10
23,59328,59328,0,0,0,5-8-1-3-14-4-18-12-11-7-16-10-9-2-17-13-6-15
24,77616,77616,0,0,0,7-3-14-8-15-2-11-17-12-13-9-4-18-5-6-16-10-1
25,65860,65860,0,0,0,6-4-8-18-10-5-17-11-12-1-15-14-7-2-3-13-9-16
26,82338,82338,0,0,0,4-12-18-9-16-14-2-1-6-5-13-3-10-17-7-8-15-11
27,95102,95102,0,0,0,11-4-2-15-16-18-10-5-12-13-14-1-9-17-3-6-7-8
28,69094,69094,0,0,0,4-7-12-1-13-15-2-8-9-14-10-5-18-6-11-17-3-16
29,85632,85632,0,0,0,7-11-6-2-3-13-4-8-14-12-16-10-1-17-15-18-5-9
30,81528,81528,0,0,0,11-16-12-13-15-17-9-8-2-7-3-10-18-6-5-4-14-1
31,41426,41426,0,0,0,3-2-1-14-6-16-7-9-4-17-15-8-12-5-13-10-11-18
32,53212,53212,0,0,0,13-4-16-18-8-2-17-15-11-12-5-10-7-14-1-6-3-9
33,69100,69100,0,0,0,2-14-16-9-13-8-10-12-11-3-7-18-5-4-1-17-15-6
34,63702,63702,0,0,0,8-12-7-4-2-3-14-11-1-10-9-17-18-6-13-5-16-15
35,74288,74288,0,0,0,1-6-7-18-3-13-14-17-16-15-4-9-2-8-11-10-12-5
36,76870,76870,0,0,0,2-8-12-6-17-10-16-3-18-4-9-14-1-13-7-5-15-11
37,71410,71410,0,0,0,10-9-11-8-7-13-2-15-3-6-17-12-5-4-18-1-14-16
38,64682,64682,0,0,0,7-11-12-2-5-6-10-1-16-3-9-8-15-17-4-14-13-18
39,77486,77486,0,0,0,13-7-10-5-6-16-14-17-3-1-18-9-15-12-11-2-4-8
40,48836,48836,0,0,0,15-12-16-7-8-4-2-17-3-5-11-1-18-13-10-6-9-14
41,84278,84278,0,0,0,10-8-7-9-18-1-16-5-3-6-2-12-17-14-11-15-13-4
42,81304,81304,0,0,0,10-1-16-6-18-9-3-2-14-8-5-7-11-12-15-13-4-17
43,53680,53680,0,0,0,1-12-15-11-6-14-2-9-13-4-8-18-5-10-3-17-16-7
44,82540,82540,0,0,0,15-14-5-11-2-4-18-8-6-7-3-9-16-10-12-17-13-1
45,65086,65086,0,0,0,18-9-14-7-4-1-12-3-8-16-5-17-10-15-13-2-6-11
46,69114,69114,0,0,0,14-5-16-11-17-3-6-10-9-7-13-2-1-15-18-4-12-8
47,55386,55386,0,0,0,16-8-15-11-3-12-10-4-1-9-17-6-2-14-13-18-5-7
48,91984,91984,0,0,0,8-5-13-4-7-10-12-11-2-1-18-6-14-9-3-16-15-17
49,82202,82202,0,0,0,17-6-15-7-2-12-1-14-18-16-13-11-9-8-4-10-5-3
50,73930,73930,0,0,0,2-16-3-18-10-5-7-17-13-11-12-4-9-14-1-6-8-15
51,68762,68762,0,0,0,9-11-15-13-4-2-12-7-8-18-16-1-3-6-5-14-17-10
52,73246,73246,0,0,0,11-14-10-4-2-17-3-9-12-8-1-16-13-6-7-5-15-18
53,84482,84482,0,0,0,2-8-14-3-16-13-6-1-5-17-11-12-18-4-10-15-9-7
54,94584,94584,0,0,0,4-2-13-6-11-1-16-14-17-15-12-10-8-7-5-9-3-18
55,78532,78532,0,0,0,1-15-9-6-10-2-17-3-13-12-16-18-11-14-5-4-7-8
56,58976,58976,0,0,0,16-3-17-6-9-4-18-15-8-2-10-5-7-12-13-11-14-1
57,66280,66280,0,0,0,12-13-5-15-2-16-7-10-14-11-3-1-9-18-4-6-17-8
58,64052,64052,0,0,0,17-12-16-3-2-13-11-14-8-5-1-15-9-6-18-10-7-4
59,85828,85828,0,0,0,9-6-10-1-17-15-14-2-16-13-5-8-3-12-7-18-11-4
60,72708,72708,0,0,0,10-13-5-14-1-17-15-16-4-18-9-7-12-2-8-3-6-11
61,71818,71818,0,0,0,2-14-5-1-18-15-11-12-16-10-6-8-7-9-17-13-3-4
62,84712,84712,0,0,0,16-14-5-12-6-9-1-17-7-18-11-4-2-10-3-8-15-13
63,61658,61658,0,0,0,6-16-15-7-2-4-5-1-17-9-18-10-14-11-12-3-8-13
64,80826,80826,0,0,0,1-12-9-6-11-17-3-2-7-10-8-16-4-5-13-18-14-15
65,77798,77798,0,0,0,9-13-5-17-8-6-7-3-10-12-2-11-16-14-18-1-15-4
66,67284,67284,0,0,0,17-13-9-5-1-12-2-11-18-16-15-4-6-14-10-7-3-8
67,80124,80124,0,0,0,10-12-16-3-15-2-7-11-17-8-4-18-6-9-13-1-14-5
68,58982,58982,0,0,0,7-8-5-15-14-6-18-17-1-11-9-16-2-13-10-12-4-3
69,61732,61732,0,0,0,10-17-18-12-9-15-2-7-8-3-16-11-5-14-13-4-1-6
70,73478,73478,0,0,0,14-10-2-15-6-5-4-16-12-8-17-11-13-18-9-1-7-3
71,93016,93016,0,0,0,18-15-10-16-13-5-9-12-1-6-7-4-14-8-11-3-2-17
72,90628,90628,0,0,0,13-7-6-14-15-1-8-4-18-11-5-16-2-12-10-17-3-9
73,92476,92476,0,0,0,2-6-13-4-12-14-15-7-18-8-10-9-3-1-5-16-11-17
74,76914,76914,0,0,0,5-11-9-7-12-18-1-6-14-16-13-10-2-8-3-15-4-17
75,70968,70968,0,0,0,12-1-13-4-15-18-17-3-5-11-10-2-16-8-7-9-14-6
76,64212,64212,0,0,0,18-7-6-8-17-5-3-13-16-9-12-1-4-11-10-14-2-15
77,68638,68638,0,0,0,6-1-4-10-12-13-2-18-17-9-3-8-14-7-15-11-5-16
78,78936,78936,0,0,0,14-17-16-18-15-4-8-2-6-1-11-12-5-10-3-13-7-9
79,83976,83976,0,0,0,18-7-5-4-10-6-15-17-8-13-12-14-16-9-2-11-1-3
80,50006,50006,0,0,0,15-9-18-16-2-1-12-7-10-4-8-14-13-17-5-6-11-3
