i,initialCost,cost,steps,visited,time,permutation
0,294518,281562,2,2,0,4-10-1-11-3-12-5-6-8-7-9-2
1,325910,290104,6,6,0,12-7-2-8-11-10-9-1-6-3-5-4
2,312704,277772,4,4,0,7-10-12-5-11-3-1-8-2-4-9-6
3,302712,287922,2,2,0,2-7-1-4-8-10-6-12-3-9-5-11
4,307594,293136,2,2,0,4-7-1-11-12-8-9-2-10-6-3-5
5,294782,291352,2,2,0,9-4-1-5-2-11-7-10-8-12-6-3
6,335286,280592,5,5,0,3-7-6-8-9-4-11-12-5-10-1-2
7,312774,288728,5,5,0,10-7-12-11-1-8-9-3-4-2-6-5
8,318470,307670,2,2,0,3-12-4-7-5-8-2-11-9-6-1-10
9,334270,292902,4,4,0,4-12-11-2-7-6-3-9-8-10-1-5
10,311132,248684,7,7,0,2-10-5-4-6-12-8-1-3-9-7-11
11,330800,264832,5,5,0,4-8-3-5-2-11-7-6-10-1-12-9
12,322158,258452,10,10,0,5-7-2-4-10-12-8-1-3-6-9-11
13,313998,258580,7,7,0,8-9-2-4-6-12-1-5-3-10-7-11
14,272710,262338,4,4,0,7-6-5-1-2-12-10-3-4-11-9-8
15,272306,265800,3,3,0,10-8-6-5-11-4-7-12-9-1-3-2
16,328832,275106,9,9,0,3-2-12-10-4-8-5-7-11-1-9-6
17,265644,265644,1,1,0,8-3-2-12-6-4-9-5-11-7-1-10
18,309372,275192,4,4,0,8-4-1-6-2-12-10-3-9-5-7-11
19,336034,270472,9,9,0,8-7-1-9-11-12-2-4-3-6-10-5
20,335100,286476,6,6,0,6-10-8-2-4-3-5-11-7-1-9-12
21,306764,267912,6,6,0,4-12-3-8-9-7-5-10-11-2-1-6
22,335662,260166,8,8,0,9-6-7-12-10-8-2-1-11-4-5-3
23,293214,258854,5,5,0,11-2-7-12-3-4-9-5-10-6-1-8
24,301448,275550,4,4,0,2-5-8-4-10-1-6-9-7-11-12-3
25,307788,245174,6,6,0,10-12-5-1-6-9-4-2-11-8-3-7
26,288874,247294,6,6,0,8-4-2-12-11-3-9-1-6-10-5-7
27,317720,276140,6,6,0,9-7-3-4-1-5-2-12-11-10-6-8
28,304808,263346,7,7,0,6-5-8-4-3-10-2-9-11-1-12-7
29,313368,292768,2,2,0,5-9-3-4-2-7-6-1-12-8-10-11
30,309840,278198,5,5,0,11-6-4-3-5-12-7-2-8-9-1-10
31,300692,256732,7,7,0,4-12-6-1-2-8-5-10-11-9-3-7
32,334054,283726,5,5,0,4-9-1-11-12-3-2-7-10-5-6-8
33,316266,267122,6,6,0,4-6-11-5-3-7-2-8-9-12-1-10
34,315200,281676,3,3,0,2-11-12-6-10-8-3-7-1-9-5-4
35,297716,252812,7,7,0,11-3-4-12-8-2-7-6-10-5-1-9
36,302820,279246,4,4,0,11-6-12-4-5-8-1-10-3-2-7-9
37,320248,298982,3,3,0,8-4-2-9-12-11-6-3-7-10-5-1
38,320110,274500,10,10,0,8-2-1-4-3-6-7-5-10-12-9-11
39,326372,262268,5,5,0,3-2-6-4-5-12-9-1-7-11-10-8
40,317760,285630,2,2,0,6-10-1-8-12-3-2-11-4-9-7-5
41,313230,279410,7,7,0,8-10-12-6-7-11-4-2-5-1-9-3
42,295332,273350,4,4,0,7-5-1-12-9-3-11-2-8-4-6-10
43,293818,248828,5,5,0,2-3-5-1-8-4-11-10-6-9-12-7
44,335152,252378,10,10,0,3-8-10-4-9-6-7-5-2-1-12-11
45,286670,286670,1,1,0,9-1-10-3-5-7-6-11-4-8-12-2
46,326964,261954,8,8,0,4-6-11-1-3-8-5-12-2-7-9-10
47,325812,276408,4,4,0,6-12-10-4-9-2-8-11-7-1-5-3
48,319138,281150,4,4,0,5-1-2-7-8-10-3-4-12-9-6-11
49,295346,267396,8,8,0,8-12-9-6-10-11-3-5-7-1-4-2
50,310062,269246,5,5,0,8-3-2-6-11-4-7-12-10-1-5-9
51,302502,261286,4,4,0,5-3-2-8-7-10-9-4-6-12-1-11
52,326050,270770,5,5,0,8-3-2-5-6-4-11-7-9-1-12-10
53,333158,273462,7,7,0,11-6-3-5-1-9-7-4-2-8-12-10
54,283434,264450,3,3,0,12-11-10-1-7-4-9-5-2-8-3-6
55,303304,299664,2,2,0,7-10-8-6-1-3-4-9-12-2-11-5
56,312854,275574,4,4,0,8-5-3-4-9-2-11-12-7-1-6-10
57,276414,264726,3,3,0,4-10-3-9-11-12-8-5-7-1-2-6
58,290388,270192,4,4,0,7-9-11-12-6-8-10-1-2-5-4-3
59,327562,315062,2,2,0,4-8-1-11-7-5-12-9-2-3-10-6
60,308960,260242,5,5,0,2-12-3-4-9-8-1-10-11-6-5-7
61,312808,274510,3,3,0,5-1-2-12-10-9-6-4-8-11-3-7
62,303766,268308,5,5,0,4-9-6-1-3-11-7-12-5-10-2-8
63,316398,259876,6,6,0,9-2-1-4-8-12-7-5-3-6-10-11
64,317134,274236,3,3,0,9-11-8-6-3-7-5-1-12-10-2-4
65,332758,300612,3,3,0,4-8-3-12-2-9-5-1-11-10-7-6
66,336628,258510,7,7,0,8-2-4-6-9-12-10-1-5-7-11-3
67,299812,296952,2,2,0,11-5-7-10-8-1-3-2-12-6-4-9
68,351330,268560,6,6,0,6-12-10-9-2-8-5-1-11-4-3-7
69,314420,280422,6,6,0,8-6-10-5-4-9-2-1-11-7-12-3
70,287314,275816,3,3,0,8-7-11-1-5-9-12-10-4-3-6-2
71,310852,276594,4,4,0,8-4-6-1-7-2-3-12-9-5-10-11
72,327250,281122,5,5,0,11-4-5-9-8-1-7-10-6-12-2-3
73,313400,269618,6,6,0,4-2-1-6-8-11-12-5-3-9-10-7
74,302952,255466,11,11,0,3-4-10-6-9-2-12-1-8-7-5-11
75,322516,282988,3,3,0,3-5-4-6-10-8-11-2-12-9-1-7
76,297576,246990,6,6,0,8-4-2-6-3-9-7-1-10-12-5-11
77,290974,290974,1,1,0,11-8-2-1-6-4-12-3-5-7-10-9
78,306872,289938,3,3,0,11-7-2-12-10-5-9-4-6-1-8-3
79,314054,277188,4,4,0,3-2-7-5-11-4-10-12-9-1-6-8
80,278460,253206,3,3,0,11-1-7-4-5-10-3-9-8-6-12-2
81,297414,264564,6,6,0,8-5-1-4-2-7-12-10-3-6-9-11
82,309762,269910,6,6,0,2-1-5-3-4-8-9-7-10-6-12-11
83,321188,261190,10,10,0,11-3-4-6-2-7-9-5-10-12-1-8
84,304000,286102,2,2,0,8-6-1-4-10-9-3-2-7-12-5-11
85,293244,266230,3,3,0,2-12-8-1-7-4-11-5-10-3-6-9
86,279200,262260,5,5,0,9-2-12-1-8-3-10-5-11-4-6-7
87,320822,282030,3,3,0,8-7-9-4-6-2-3-10-11-1-5-12
88,325672,276384,5,5,0,3-12-6-9-5-11-2-10-7-1-4-8
89,304348,274264,6,6,0,7-12-3-4-2-8-6-10-11-1-5-9
90,308780,288068,3,3,0,5-10-7-11-12-3-4-6-8-9-2-1
91,326134,277704,7,7,0,3-7-2-6-4-9-8-11-10-1-5-12
92,326794,266660,9,9,0,8-7-9-1-5-10-6-4-2-3-12-11
93,316910,254070,6,6,0,11-12-4-8-2-9-6-10-5-3-1-7
94,310430,269110,6,6,0,11-5-9-1-4-8-6-7-10-3-12-2
95,297358,297358,1,1,0,8-11-3-10-9-6-12-4-1-5-2-7
96,297774,278568,5,5,0,1-2-7-9-5-8-6-4-11-3-10-12
97,318672,264332,8,8,0,2-4-1-8-3-7-9-10-6-12-5-11
98,317248,273030,3,3,0,3-1-9-4-10-5-2-12-6-7-8-11
99,312740,269006,6,6,0,3-7-11-10-5-4-2-1-6-8-9-12
100,291050,278484,4,4,0,7-6-12-11-3-9-1-2-8-4-5-10
101,312696,269524,3,3,0,1-4-10-12-8-2-7-3-6-9-5-11
102,316882,291754,3,3,0,6-2-5-10-12-4-3-7-11-9-1-8
103,295870,255138,7,7,0,10-12-6-3-5-11-4-9-8-2-1-7
104,302590,254772,4,4,0,8-10-6-9-11-12-5-1-4-7-2-3
105,312090,282958,4,4,0,2-6-3-4-12-9-1-10-11-5-7-8
106,301540,268470,5,5,0,2-1-5-8-11-4-3-9-6-10-12-7
107,332982,286434,4,4,0,1-7-10-8-2-4-9-5-6-3-11-12
108,321628,274092,10,10,0,4-7-1-11-3-12-9-5-2-10-6-8
109,331326,276406,4,4,0,6-12-7-1-10-11-2-5-4-3-8-9
110,313602,274146,5,5,0,10-5-1-6-3-7-2-9-11-4-12-8
111,304742,304742,1,1,0,1-4-8-2-12-9-10-3-7-5-6-11
112,302042,272702,5,5,0,4-8-3-9-2-1-12-5-11-7-10-6
113,307538,275980,2,2,0,2-10-7-1-3-6-12-4-11-8-9-5
114,309768,260502,3,3,0,2-12-3-4-6-10-1-9-8-11-5-7
115,324122,293104,3,3,0,3-2-4-12-10-6-7-11-9-5-1-8
116,313412,290190,3,3,0,3-1-2-4-7-9-12-6-8-5-10-11
117,299758,263836,6,6,0,4-12-9-8-11-10-6-5-2-1-3-7
118,336146,280652,5,5,0,4-10-1-11-3-7-12-5-8-9-2-6
119,325698,277520,4,4,0,4-9-3-1-8-7-10-6-2-11-12-5
120,288852,271360,5,5,0,7-3-12-10-11-2-6-9-5-8-1-4
121,303034,275810,2,2,0,8-4-9-1-10-11-7-3-2-12-5-6
122,312132,283104,3,3,0,1-7-11-9-12-8-3-10-2-6-4-5
123,309810,259884,7,7,0,10-5-3-4-1-2-8-9-7-12-6-11
124,317210,281126,4,4,0,1-6-7-9-11-10-3-2-8-4-5-12
125,321248,256400,10,10,0,4-10-1-9-3-5-8-6-12-7-2-11
126,325110,280338,5,5,0,7-4-9-8-3-11-1-12-6-10-5-2
127,320370,280846,6,6,0,5-4-12-9-8-11-2-6-7-1-10-3
128,329122,309912,2,2,0,9-4-6-12-10-3-5-8-1-2-7-11
129,321008,264876,5,5,0,8-10-6-9-7-11-4-3-5-1-2-12
130,298160,284686,3,3,0,5-7-1-2-8-12-3-6-11-9-10-4
131,302664,284778,3,3,0,9-4-6-3-8-2-10-7-1-5-12-11
132,318876,294484,3,3,0,6-2-1-7-3-8-12-5-4-11-9-10
133,331070,277374,5,5,0,8-3-12-4-2-5-7-10-6-1-9-11
134,302482,260590,5,5,0,4-9-11-8-12-3-5-1-6-10-2-7
135,287546,262378,5,5,0,4-10-11-1-6-3-2-12-8-9-5-7
136,310268,275268,3,3,0,4-8-5-3-11-6-12-1-9-10-7-2
137,315074,294382,2,2,0,12-10-1-4-3-11-9-5-8-2-7-6
138,296120,276920,2,2,0,12-1-7-6-11-10-3-5-8-9-2-4
139,312254,258430,7,7,0,11-3-10-1-8-2-7-6-5-9-12-4
140,303594,278736,5,5,0,10-9-5-6-12-11-3-7-8-4-1-2
141,333596,274242,4,4,0,10-3-5-9-6-12-2-4-11-1-7-8
142,302304,274136,5,5,0,10-6-5-1-8-9-7-2-11-4-12-3
143,313244,272712,5,5,0,4-5-1-11-7-10-12-9-8-3-6-2
144,307614,266122,7,7,0,2-3-5-6-11-4-7-9-10-12-1-8
145,317048,255350,6,6,0,6-7-1-4-8-12-2-5-3-9-10-11
146,341068,291528,5,5,0,11-12-3-4-7-6-9-10-8-1-5-2
147,310810,261532,5,5,0,9-12-5-1-7-11-4-2-6-8-3-10
148,311120,253572,6,6,0,7-10-12-9-1-5-8-6-4-11-2-3
149,327222,269792,12,12,0,4-5-3-8-2-1-9-12-10-6-11-7
