i,cost,steps,visited,time,permutation
0,253000,9,9,0,3-4-6-10-2-7-12-8-5-1-9-11
1,265856,8,8,0,4-10-2-8-11-6-9-5-7-1-12-3
2,288664,4,4,0,9-7-3-4-8-6-2-1-11-5-10-12
3,266722,4,4,0,3-6-5-12-9-8-7-1-4-11-2-10
4,282330,6,6,0,8-3-5-7-6-4-2-10-12-1-9-11
5,279984,5,5,0,4-8-6-12-11-10-7-5-2-1-3-9
6,262808,7,7,0,10-3-5-12-2-4-7-9-6-8-1-11
7,298918,3,3,0,2-6-12-7-9-8-4-10-5-11-3-1
8,284046,3,3,0,1-8-11-4-9-3-5-6-12-10-7-2
9,263416,5,5,0,8-4-2-1-6-7-12-3-5-10-9-11
10,255080,11,11,0,9-3-6-1-8-4-7-10-5-2-12-11
11,267448,10,10,0,8-3-9-6-4-2-1-11-12-7-5-10
12,256002,6,6,0,7-4-2-12-8-11-9-1-10-6-5-3
13,283476,4,4,0,10-9-5-8-11-6-2-7-3-4-1-12
14,275586,7,7,0,6-12-9-8-3-11-7-5-2-4-1-10
15,297618,4,4,0,11-9-2-4-3-8-6-7-1-10-5-12
16,257776,7,7,0,3-7-5-8-4-12-6-1-11-2-10-9
17,286128,6,6,0,2-10-3-4-5-6-7-1-8-11-9-12
18,266358,4,4,0,12-10-7-4-3-5-1-6-8-9-2-11
19,287834,2,2,0,8-4-2-5-9-11-10-6-3-7-12-1
20,275848,5,5,0,3-11-10-8-9-4-1-12-2-6-5-7
21,270442,7,7,0,7-2-3-4-5-1-6-12-11-9-10-8
22,248596,12,12,0,8-12-6-1-2-7-5-9-11-4-3-10
23,271024,4,4,0,7-4-9-8-5-3-10-1-6-2-12-11
24,288742,3,3,0,8-4-3-6-10-2-9-7-1-12-5-11
25,266960,4,4,0,8-3-9-6-4-5-7-12-11-2-1-10
26,261230,2,2,0,3-10-5-12-2-6-9-1-11-8-4-7
27,275532,5,5,0,2-7-5-10-12-3-6-8-1-9-4-11
28,262970,4,4,0,10-12-5-3-11-9-4-7-6-8-1-2
