i,initialCost,cost,steps,visited,time,permutation
0,331934,242782,15,322,1,3-4-10-6-8-2-7-1-9-12-5-11
1,300884,254056,9,156,0,9-12-6-8-11-7-5-10-4-3-1-2
2,304480,240828,11,278,0,7-8-9-1-2-5-10-6-4-3-12-11
3,309824,247312,20,345,1,3-10-6-1-4-5-8-12-7-2-9-11
4,323404,247804,13,347,0,12-5-10-6-7-9-8-1-4-3-11-2
5,318352,248140,17,374,1,11-9-4-6-8-12-10-1-2-5-7-3
6,334318,224416,20,260,1,2-4-7-12-8-3-10-1-9-6-5-11
7,311646,246850,15,412,1,4-2-11-1-5-3-6-12-7-10-9-8
8,327800,239158,17,356,1,11-3-7-1-4-6-9-5-2-8-12-10
9,301056,241814,13,315,0,11-12-8-4-7-10-3-9-1-5-6-2
10,313478,241912,13,346,1,5-4-7-1-2-3-10-12-8-6-9-11
11,293880,241438,14,309,1,11-5-4-12-2-8-9-1-10-6-3-7
12,299568,239912,17,479,1,5-12-2-1-10-11-4-6-9-3-8-7
13,327536,242622,22,271,1,12-4-7-9-2-3-5-1-6-8-10-11
14,315968,242622,13,266,1,12-4-7-9-2-3-5-1-6-8-10-11
15,306032,244286,10,178,1,8-4-6-9-11-2-5-1-12-7-10-3
16,332352,253770,14,282,0,6-4-1-10-3-8-12-7-5-2-9-11
17,280934,254192,6,194,0,7-8-12-1-11-6-5-9-4-3-10-2
18,306010,239912,15,442,0,5-12-2-1-10-11-4-6-9-3-8-7
19,300944,246948,11,241,0,7-10-12-4-11-5-2-6-8-1-9-3
20,317968,243772,16,349,1,12-5-7-9-10-3-8-1-11-6-4-2
21,327166,233040,18,403,1,5-12-10-1-2-11-4-6-9-8-3-7
22,303146,224416,16,285,1,2-4-7-12-8-3-10-1-9-6-5-11
23,317682,242390,11,277,0,7-10-1-5-12-11-8-6-3-9-4-2
24,315948,254990,11,167,0,11-3-6-1-4-2-12-9-5-7-8-10
25,296036,245908,17,397,1,3-6-2-4-9-10-11-1-7-12-5-8
26,306206,252908,19,372,1,4-8-11-1-2-6-12-9-5-10-3-7
27,292966,253824,5,114,0,3-8-4-9-2-12-11-1-5-7-10-6
28,313828,240786,17,481,1,7-2-12-9-5-3-6-1-11-4-10-8
29,296150,248120,12,325,0,10-2-3-1-11-12-7-4-8-9-6-5
30,291080,248112,13,284,1,9-5-12-1-2-8-11-10-3-4-6-7
31,308514,237136,13,263,0,8-4-9-6-11-2-10-1-7-12-5-3
32,302422,253288,9,135,0,11-7-3-4-1-12-6-5-8-9-10-2
33,324250,244244,17,456,1,8-10-11-4-6-12-7-1-5-2-9-3
34,297642,239872,14,255,0,8-4-9-1-6-2-7-3-10-5-12-11
35,313748,251640,14,174,0,7-11-12-1-4-8-5-10-6-3-9-2
36,307840,245148,14,230,0,7-2-12-4-1-5-3-6-8-9-10-11
37,330704,244492,12,280,0,2-12-5-1-6-9-3-10-11-4-8-7
38,342660,236822,15,203,1,8-4-2-12-11-3-10-1-9-6-5-7
39,318014,255610,10,136,0,3-9-6-10-5-7-11-8-2-1-4-12
40,301608,255630,7,123,0,7-9-12-4-8-1-2-6-3-5-10-11
