i,initialCost,cost,steps,visited,time,permutation
0,336828,239912,8,528,0,11-2-4-1-5-8-9-12-10-6-3-7
1,318856,229092,9,594,0,8-4-9-12-2-3-10-1-7-5-6-11
2,331820,247046,7,462,5,3-6-4-5-9-10-2-1-7-12-11-8
3,321930,239554,8,528,1,5-11-2-1-7-10-6-8-9-12-3-4
4,305804,250938,7,462,0,2-1-8-4-5-7-12-6-3-10-9-11
5,325906,251370,6,396,0,5-3-2-9-6-10-11-4-7-12-1-8
6,302500,242108,8,528,0,2-7-5-9-8-3-6-1-11-4-10-12
7,346378,241170,7,462,1,12-5-10-1-7-9-8-3-4-11-6-2
8,335906,253616,6,396,0,4-8-3-9-11-1-5-6-12-7-10-2
9,313212,252156,5,330,0,5-4-3-9-1-7-12-6-8-2-10-11
10,313212,247020,8,528,1,11-3-9-1-4-7-5-6-8-2-12-10
11,334840,239818,6,396,0,7-10-12-4-1-5-8-6-3-2-9-11
12,312006,237804,9,594,0,6-4-10-1-8-9-7-3-2-5-12-11
13,323860,245910,8,528,0,11-8-9-12-6-4-7-5-10-3-1-2
14,292180,238192,9,594,0,10-12-6-1-5-11-4-9-2-8-3-7
15,300756,243990,9,594,0,3-12-10-4-6-9-11-1-2-8-5-7
16,299610,241696,6,396,0,10-7-3-5-1-12-8-4-11-9-6-2
17,330398,242020,7,462,0,8-10-6-4-5-12-2-1-11-7-9-3
18,299432,224416,10,660,1,2-4-7-12-8-3-10-1-9-6-5-11
19,334352,237804,8,528,0,6-4-10-1-8-9-7-3-2-5-12-11
20,325712,250460,7,462,0,3-5-4-6-2-7-12-1-8-9-11-10
21,327196,252542,7,462,0,10-7-3-6-5-12-8-4-1-9-11-2
22,305886,248258,6,396,0,10-12-3-6-11-2-1-9-8-4-5-7
23,309288,233040,10,660,0,5-12-10-1-2-11-4-6-9-8-3-7
24,299176,243118,8,528,0,7-3-9-1-5-10-11-8-2-6-12-4
25,310628,248656,4,264,0,10-2-12-1-5-3-9-8-11-4-6-7
26,313972,253608,5,330,0,3-7-10-5-4-1-8-12-9-11-6-2
27,326084,242440,11,726,0,11-5-4-1-7-9-8-3-10-6-12-2
28,312286,242782,10,660,0,3-4-10-6-8-2-7-1-9-12-5-11
29,311328,247162,8,528,0,9-7-12-8-5-3-6-1-11-4-10-2
30,341916,232164,9,594,0,11-5-4-1-7-10-6-8-9-12-3-2
31,290556,239856,9,594,0,6-4-9-1-3-10-7-8-2-5-12-11
32,317756,240210,7,462,0,10-5-11-12-2-3-6-1-9-8-4-7
33,328166,230704,9,594,0,11-12-4-1-2-10-5-9-8-6-3-7
34,261000,238398,5,330,0,2-12-1-4-11-10-3-9-8-6-5-7
35,327322,242634,8,528,0,2-12-5-1-4-9-6-10-11-8-3-7
36,329878,233040,10,660,0,5-12-10-1-2-11-4-6-9-8-3-7
37,324990,233040,10,660,0,5-12-10-1-2-11-4-6-9-8-3-7
