i,initialCost,cost,steps,visited,time,permutation
0,301740,301740,0,0,0,12-8-5-2-3-9-10-1-4-11-7-6
1,291100,291100,0,0,0,6-1-12-4-11-10-3-7-8-9-5-2
2,307192,307192,0,0,0,11-10-1-2-3-12-9-8-4-5-6-7
3,315732,315732,0,0,0,1-8-6-7-11-10-5-4-9-3-2-12
4,312038,312038,0,0,0,2-11-6-12-10-4-1-5-8-7-3-9
5,304928,304928,0,0,0,4-1-12-8-11-2-7-9-6-5-3-10
6,320462,320462,0,0,0,3-6-9-2-8-1-4-7-12-5-11-10
7,302104,302104,0,0,0,3-8-4-7-5-12-6-1-10-2-11-9
8,308298,308298,0,0,0,4-7-8-6-1-9-3-2-11-12-5-10
9,316546,316546,0,0,0,12-2-10-6-9-8-5-11-3-7-4-1
10,333528,333528,0,0,0,3-5-6-7-10-8-1-11-4-9-2-12
11,329054,329054,0,0,0,3-9-5-2-11-4-12-8-10-7-6-1
12,285490,285490,0,0,0,10-12-5-6-4-2-1-9-11-8-3-7
13,280756,280756,0,0,0,12-10-11-8-5-7-2-1-6-9-4-3
14,307138,307138,0,0,0,7-12-8-9-3-2-6-10-4-11-1-5
15,293326,293326,0,0,0,4-10-8-3-11-1-12-6-5-7-9-2
16,309672,309672,0,0,0,2-10-1-3-4-5-6-12-11-7-9-8
17,288468,288468,0,0,0,3-8-7-5-4-10-9-1-6-12-11-2
18,303974,303974,0,0,0,11-8-1-4-2-12-10-7-6-5-9-3
19,303898,303898,0,0,0,5-1-7-4-8-6-10-12-2-11-9-3
20,286660,286660,0,0,0,6-9-2-10-5-8-11-7-3-4-1-12
21,302342,302342,0,0,0,3-4-11-6-9-7-2-1-5-8-10-12
22,306778,306778,0,0,0,11-1-4-7-12-6-9-2-5-10-8-3
23,316414,316414,0,0,0,8-9-4-10-11-12-3-5-2-6-1-7
24,282634,282634,0,0,0,11-5-4-1-6-8-10-3-9-12-7-2
25,317742,317742,0,0,0,2-7-10-6-5-1-3-9-11-8-12-4
26,314156,314156,0,0,0,4-10-8-2-11-3-6-7-9-12-1-5
27,297768,297768,0,0,0,11-3-6-1-9-7-4-12-5-8-2-10
28,271928,271928,0,0,0,10-2-12-9-5-11-1-8-3-4-6-7
29,297208,297208,0,0,0,3-7-9-1-5-2-8-10-12-4-6-11
30,338542,338542,0,0,0,4-8-10-6-7-5-11-2-3-1-9-12
31,318318,318318,0,0,0,7-5-10-11-3-9-4-12-8-2-6-1
32,293444,293444,0,0,0,10-4-2-5-7-6-8-12-11-1-9-3
33,304334,304334,0,0,0,11-4-8-12-6-5-10-2-7-1-3-9
34,342432,342432,0,0,0,8-1-7-11-5-12-2-10-4-6-3-9
35,331208,331208,0,0,0,8-9-2-3-1-4-5-7-6-12-11-10
36,318926,318926,0,0,0,9-8-5-11-10-4-2-6-7-3-1-12
37,306498,306498,0,0,0,5-11-9-3-1-12-8-4-10-7-6-2
38,332392,332392,0,0,0,4-5-1-7-6-8-9-2-11-3-12-10
39,300540,300540,0,0,0,5-10-1-4-8-12-11-9-7-2-6-3
40,287828,287828,0,0,0,8-7-9-4-12-10-2-1-3-11-6-5
41,327208,327208,0,0,0,11-7-5-6-8-9-1-12-4-10-3-2
42,313548,313548,0,0,0,10-12-7-6-9-1-8-4-11-5-2-3
43,321934,321934,0,0,0,8-1-9-10-5-3-11-6-12-7-2-4
44,308646,308646,0,0,0,9-8-7-12-6-4-5-2-11-10-3-1
45,331624,331624,0,0,0,6-9-11-10-2-5-4-7-1-8-12-3
46,332154,332154,0,0,0,9-8-10-6-7-11-5-12-1-2-3-4
47,295068,295068,0,0,0,12-5-7-11-10-2-6-3-9-8-1-4
48,307564,307564,0,0,0,9-8-6-1-12-3-2-4-7-11-5-10
49,292266,292266,0,0,0,5-12-11-6-9-10-7-4-3-8-1-2
50,300850,300850,0,0,0,4-7-1-9-8-12-2-6-10-5-11-3
51,316338,316338,0,0,0,8-11-10-6-4-9-1-3-5-12-7-2
52,307576,307576,0,0,0,2-8-3-5-12-9-7-1-10-4-11-6
53,341538,341538,0,0,0,8-6-12-4-1-5-11-2-9-10-3-7
54,313240,313240,0,0,0,1-3-7-10-5-11-2-6-8-12-9-4
55,309492,309492,0,0,0,9-11-12-4-6-1-10-2-5-8-7-3
56,297258,297258,0,0,0,11-4-1-2-5-9-3-10-12-7-6-8
57,335270,335270,0,0,0,9-3-2-11-5-1-12-6-7-8-4-10
58,313840,313840,0,0,0,4-11-10-2-1-9-12-3-6-8-5-7
59,311062,311062,0,0,0,10-5-11-4-6-8-12-3-1-7-9-2
60,312562,312562,0,0,0,12-9-4-10-7-5-6-11-3-8-1-2
61,304632,304632,0,0,0,12-7-10-11-2-3-4-1-6-5-8-9
62,309248,309248,0,0,0,9-1-10-12-8-7-2-3-5-6-4-11
63,316810,316810,0,0,0,6-2-1-5-7-3-11-8-10-4-12-9
64,309476,309476,0,0,0,2-8-7-1-3-9-6-12-5-11-4-10
65,334092,334092,0,0,0,10-5-7-4-12-9-2-3-1-11-6-8
66,305038,305038,0,0,0,5-8-1-3-6-9-2-11-10-4-12-7
67,300250,300250,0,0,0,4-6-1-7-11-12-10-3-2-5-9-8
68,308140,308140,0,0,0,10-2-6-9-3-8-5-12-7-1-11-4
69,267118,267118,0,0,0,2-3-5-1-7-8-6-10-12-9-11-4
70,317658,317658,0,0,0,1-8-9-6-12-10-5-3-4-2-7-11
71,333864,333864,0,0,0,5-11-9-4-1-12-6-7-10-8-2-3
72,324272,324272,0,0,0,10-4-3-2-5-6-7-12-9-8-11-1
73,317600,317600,0,0,0,7-4-9-11-12-6-8-3-5-2-1-10
74,295022,295022,0,0,0,12-2-8-6-10-5-9-3-4-11-1-7
75,311310,311310,0,0,0,11-6-10-9-1-3-4-12-5-2-8-7
76,321520,321520,0,0,0,8-2-4-5-11-10-3-7-9-1-12-6
77,324942,324942,0,0,0,12-11-2-10-5-3-9-6-7-1-4-8
78,314460,314460,0,0,0,7-1-6-3-9-11-12-5-10-4-8-2
79,300674,300674,0,0,0,8-12-7-1-4-10-2-6-5-11-3-9
80,321366,321366,0,0,0,6-5-1-10-7-4-12-2-8-3-11-9
81,297988,297988,0,0,0,7-3-8-12-1-2-4-6-10-5-9-11
82,347808,347808,0,0,0,5-4-2-11-9-12-8-7-3-1-6-10
83,331250,331250,0,0,0,6-4-1-10-8-12-9-7-5-11-3-2
84,360392,360392,0,0,0,1-12-3-2-6-11-9-8-10-7-5-4
85,302452,302452,0,0,0,3-5-8-9-2-6-10-11-4-12-1-7
86,311048,311048,0,0,0,11-12-10-9-7-3-8-2-1-6-5-4
87,309024,309024,0,0,0,12-2-8-7-9-1-11-3-5-10-4-6
88,297926,297926,0,0,0,9-8-12-1-7-10-11-6-4-5-3-2
89,328410,328410,0,0,0,8-12-4-6-1-3-9-10-11-7-5-2
