i,initialCost,cost,steps,visited,time,permutation
0,291364,247160,1,396,0,3-12-10-5-9-11-2-6-8-1-4-7
1,310776,245086,3,528,0,8-3-9-12-6-4-7-5-10-11-1-2
2,320188,239158,3,528,1,11-3-7-1-4-6-9-5-2-8-12-10
3,317524,250684,2,462,0,7-5-12-9-1-4-8-10-3-6-11-2
4,306990,251170,1,396,0,12-6-7-9-10-3-11-1-2-5-4-8
5,292874,241710,1,396,0,12-10-7-9-6-3-8-1-11-4-2-5
6,279862,231902,2,462,0,11-12-4-1-2-10-5-9-6-8-3-7
7,324000,255284,2,462,0,2-7-5-10-12-8-6-1-11-9-4-3
8,324064,254860,3,528,1,7-11-1-5-12-9-3-4-2-8-6-10
9,286680,246084,1,396,0,4-9-11-1-2-3-10-12-7-5-6-8
10,334400,249746,1,396,0,8-5-6-1-2-9-11-10-3-4-12-7
11,331700,243766,2,462,0,6-5-10-1-8-9-7-3-4-11-12-2
12,315614,255372,1,396,0,12-11-7-6-9-4-2-1-10-3-5-8
13,307812,245898,2,462,0,5-3-2-1-10-6-9-4-7-12-8-11
14,310870,243692,2,462,0,7-10-12-1-5-3-4-6-8-2-9-11
15,313342,234188,2,462,0,4-12-11-1-2-9-5-10-6-8-3-7
16,315544,249214,2,462,0,2-9-5-1-8-12-10-3-4-11-6-7
17,283066,254054,1,396,0,12-5-9-6-7-2-4-1-10-3-11-8
18,311168,249480,4,594,0,5-9-2-1-11-3-6-12-7-4-10-8
19,323926,242622,2,462,1,12-4-7-9-2-3-5-1-6-8-10-11
20,325740,242270,2,462,0,3-11-10-5-4-8-9-12-7-1-6-2
21,300242,247552,1,396,0,3-12-9-5-10-11-8-6-2-1-4-7
22,332976,236006,2,462,0,10-4-6-1-3-7-9-8-2-5-12-11
23,350716,248180,4,594,1,10-3-6-1-4-5-7-9-8-2-12-11
24,346008,241170,3,528,0,12-5-10-1-7-9-8-3-4-11-6-2
25,302342,237804,2,462,0,6-4-10-1-8-9-7-3-2-5-12-11
26,297346,234188,2,462,0,4-12-11-1-2-9-5-10-6-8-3-7
27,297604,224416,5,660,1,2-4-7-12-8-3-10-1-9-6-5-11
28,291928,236006,2,462,1,10-4-6-1-3-7-9-8-2-5-12-11
29,331414,249042,2,462,0,11-2-4-1-12-5-10-6-8-9-3-7
30,324548,250428,2,462,0,2-6-8-4-1-10-11-9-7-12-5-3
31,331164,229092,3,528,0,8-4-9-12-2-3-10-1-7-5-6-11
32,296660,245756,2,462,0,3-12-9-4-6-10-11-8-2-1-5-7
33,295858,242848,4,594,0,7-3-9-1-5-4-11-6-2-8-12-10
34,311102,253950,2,462,0,7-10-2-1-12-6-4-5-9-8-3-11
35,311940,224416,3,528,0,2-4-7-12-8-3-10-1-9-6-5-11
