i,initialCost,cost,steps,visited,time,permutation
0,84388165,51204183,5,5,0,11-12-5-3-2-8-9-4-6-7-1-10
1,76564226,61602812,3,3,0,8-4-1-2-12-9-6-10-5-3-11-7
2,82316168,52656563,3,3,0,8-3-4-2-7-9-1-6-12-10-5-11
3,84789838,57921903,5,5,0,1-4-8-2-10-9-7-3-5-6-12-11
4,74224956,64215408,2,2,0,7-4-11-12-5-10-8-9-3-6-2-1
5,86563360,56852609,3,3,0,6-1-9-7-4-5-2-11-10-8-12-3
6,87327999,61633067,4,4,0,11-1-3-9-7-4-2-8-10-5-12-6
7,68361917,52219731,3,3,0,7-8-10-12-3-6-11-5-9-4-1-2
8,64575787,48441020,7,7,0,9-4-8-12-3-7-11-10-5-6-2-1
9,76320004,48536318,8,8,0,10-5-3-2-12-11-8-4-6-1-9-7
10,67360012,62841886,2,2,0,3-4-5-8-11-2-7-10-1-6-12-9
11,87609115,45293604,7,7,0,11-2-7-1-12-8-3-4-9-6-5-10
12,81755370,55389564,4,4,0,2-7-5-10-3-6-9-1-12-4-11-8
13,81815081,49510954,7,7,0,5-9-7-12-3-8-11-4-10-6-2-1
14,85043042,61264012,3,3,0,4-11-7-9-2-10-8-12-5-6-1-3
15,97826709,67875395,2,2,0,1-7-9-5-6-3-10-2-4-11-8-12
16,93299218,63645013,3,3,0,2-5-4-12-7-11-6-1-10-8-9-3
17,69517798,53085970,8,8,0,2-7-3-12-4-6-9-1-11-10-5-8
18,86674898,52795150,4,4,0,4-9-8-12-2-6-7-10-5-11-1-3
19,73028480,45682136,7,7,0,6-11-5-3-1-12-9-8-7-10-2-4
20,97174039,57955074,3,3,0,4-1-9-8-12-10-3-5-6-7-11-2
21,91014262,53236413,10,10,0,4-8-5-10-2-3-6-12-1-7-11-9
22,85774145,56099679,3,3,0,1-8-7-2-12-6-5-3-11-10-9-4
23,70753238,46835266,6,6,0,8-11-1-3-12-5-9-6-7-2-10-4
24,72038851,67682886,2,2,0,5-1-4-12-11-3-2-6-8-7-9-10
25,82271942,43874687,5,5,0,5-11-7-2-10-3-4-8-1-6-12-9
26,86579305,59308960,2,2,0,4-5-2-7-10-8-6-11-12-1-3-9
27,76120912,52921627,2,2,0,11-4-8-12-3-1-10-7-2-9-5-6
28,82691495,50505058,3,3,0,4-8-1-2-10-9-11-5-7-3-12-6
29,102813795,61291518,3,3,0,5-6-9-10-4-2-11-12-1-7-3-8
30,66346875,53227621,4,4,0,11-12-7-2-4-3-9-10-1-6-8-5
31,78179856,50118505,7,7,0,2-7-10-1-4-12-8-3-9-5-11-6
32,79564360,53419893,5,5,0,7-6-9-2-12-3-4-5-1-8-10-11
33,78702264,45728989,7,7,0,11-1-8-3-12-9-2-4-6-7-5-10
34,82815147,52460176,7,7,0,10-8-1-12-2-11-9-5-6-3-4-7
35,99136973,54617170,5,5,1,5-3-4-12-11-10-1-6-2-9-8-7
36,94923360,49201283,4,4,0,9-5-11-12-3-4-8-7-10-6-1-2
37,97355225,47426062,6,6,0,4-6-9-2-12-3-10-11-1-7-5-8
38,94105480,48157538,8,8,0,10-7-3-2-9-6-8-5-12-1-11-4
39,59664728,52280137,4,4,1,6-10-3-2-7-11-4-8-12-1-9-5
40,99947959,54530745,3,3,0,7-3-10-2-4-12-1-9-8-11-6-5
41,73111634,54898332,4,4,0,8-4-1-2-6-5-11-9-7-3-12-10
42,66491169,48932482,4,4,0,8-10-6-3-12-7-4-11-9-5-2-1
43,95914146,74128256,2,2,0,11-8-5-7-6-9-12-10-4-3-1-2
44,86817817,62167725,3,3,0,6-1-8-4-7-3-2-12-10-5-9-11
45,93247555,51774533,3,3,0,1-11-8-2-10-4-9-3-5-7-12-6
46,65167481,59421773,4,4,0,7-9-3-2-12-8-6-10-4-1-5-11
47,91948734,56974812,4,4,0,11-12-3-7-1-4-8-9-10-2-5-6
48,76979167,50536283,7,7,0,5-3-11-4-8-12-1-6-7-9-10-2
49,90888565,56576087,5,5,0,9-2-7-12-11-8-10-4-5-6-1-3
50,101095381,58274402,7,7,0,8-6-3-4-10-9-12-5-7-1-2-11
51,48584929,48532940,3,3,0,8-11-5-2-6-1-9-12-3-10-7-4
52,97453750,51809083,5,5,0,2-5-7-1-12-11-6-3-10-8-9-4
53,89569014,49577919,5,5,0,5-8-7-2-12-3-6-9-1-4-11-10
54,87774850,60719286,2,2,0,9-7-1-3-5-10-4-12-6-2-8-11
55,102452624,56453397,5,5,0,7-3-11-2-8-12-1-4-9-10-6-5
56,100949259,48673313,7,7,0,4-7-2-3-9-6-5-11-12-1-10-8
57,78374439,45835066,5,5,0,9-4-5-1-12-2-10-11-3-8-6-7
58,93829415,61420545,2,2,0,7-4-3-11-12-8-6-5-9-2-1-10
59,72471864,54380940,5,5,0,11-8-1-2-12-6-10-5-9-3-4-7
60,58726807,58726807,1,1,0,2-11-9-12-6-8-4-1-7-5-10-3
61,74590558,44901176,5,5,0,8-1-4-2-12-7-3-6-9-11-5-10
62,93405629,54376519,8,8,1,1-6-8-10-3-7-12-2-9-11-4-5
63,49492905,49492905,1,1,0,5-1-6-12-8-4-2-7-11-9-10-3
64,64653876,62898032,2,2,0,11-9-6-2-3-7-4-1-12-8-10-5
65,113441476,48156567,4,4,0,11-7-9-2-4-1-12-6-3-10-8-5
66,66737946,66663012,2,2,0,4-1-9-12-6-10-3-7-5-11-2-8
67,71133732,53752145,5,5,0,1-9-6-2-4-10-7-3-12-8-5-11
68,85589375,54866265,6,6,0,12-11-3-2-8-5-7-9-6-1-10-4
69,99634831,52617037,4,4,0,4-1-5-11-9-12-3-10-7-8-6-2
70,93537590,55580681,4,4,0,7-4-3-2-10-12-9-11-6-1-5-8
71,84440061,54087344,5,5,0,8-12-11-2-3-5-6-10-7-9-1-4
72,75086426,48844505,6,6,0,1-8-11-3-9-10-6-2-4-7-12-5
73,78478312,45534509,7,7,0,11-8-4-2-3-6-7-9-12-10-1-5
74,94642403,58148378,7,7,0,3-7-11-2-8-6-9-1-4-10-12-5
75,75823490,54941604,4,4,0,9-8-1-3-5-7-4-11-10-2-12-6
76,103220777,59295336,7,7,0,4-5-9-12-7-8-10-2-6-11-1-3
77,72056548,49006336,7,7,0,1-8-10-2-12-5-7-3-11-4-9-6
78,64493948,44560150,9,9,0,10-7-8-2-4-1-6-11-3-5-12-9
79,82040200,48182101,7,7,0,9-6-7-12-2-10-5-11-4-8-1-3
80,73498660,48695984,5,5,0,6-3-9-2-5-8-1-12-7-11-4-10
81,98640965,56629002,4,4,0,4-7-6-12-10-1-11-8-2-3-9-5
82,69687810,46626278,5,5,0,10-8-1-3-12-4-5-6-9-2-11-7
83,84730669,49092634,5,5,0,1-8-9-2-11-6-5-3-12-7-4-10
84,57372481,46630651,3,3,0,7-6-11-2-1-8-12-5-9-4-3-10
85,91793162,57656508,3,3,0,1-11-9-2-5-6-7-3-8-4-12-10
86,74840210,54675094,3,3,0,3-4-10-2-9-7-8-1-6-5-12-11
87,103324176,74001767,2,2,0,5-1-7-8-6-11-2-4-12-3-9-10
88,87587169,61459039,7,7,0,4-10-3-9-11-6-1-5-12-2-7-8
89,82337540,50003761,6,6,0,11-3-5-4-7-12-2-9-6-8-10-1
90,54821450,48926658,3,3,0,11-8-1-2-12-10-9-5-4-3-7-6
91,95679758,54126107,6,6,0,3-7-2-12-6-8-9-1-5-10-11-4
92,69696963,44976111,5,5,0,9-6-5-2-4-1-8-12-3-10-11-7
93,79028631,57055293,3,3,0,8-7-3-2-4-5-10-11-9-1-6-12
94,81197511,52253105,6,6,0,7-8-2-3-10-5-9-11-4-1-12-6
95,97456534,56897778,7,7,0,2-8-7-10-12-1-5-4-3-9-11-6
96,78039216,51407171,4,4,0,11-3-10-12-9-5-1-8-6-7-4-2
97,99538340,50415481,5,5,0,1-8-10-2-12-9-7-3-5-4-11-6
98,73019810,49633364,5,5,0,11-3-4-1-12-9-2-5-7-10-8-6
99,87875333,49004341,6,6,0,3-11-10-2-12-7-9-1-8-4-6-5
100,78569800,51788510,4,4,0,9-2-7-1-12-10-3-11-5-4-6-8
101,77007277,76980611,2,2,0,2-5-12-11-7-4-3-1-8-6-10-9
102,84803553,63176030,2,2,0,3-4-1-12-7-8-10-6-11-2-5-9
103,91117447,69582250,2,2,0,12-7-11-8-4-5-9-6-3-10-2-1
104,92285767,61046799,4,4,0,11-7-3-6-9-12-8-4-5-2-1-10
105,91623313,54053863,4,4,0,7-3-11-12-9-4-1-8-6-10-5-2
106,111238937,61162540,3,3,0,3-11-7-2-5-9-6-1-4-10-12-8
107,94153843,50414342,7,7,1,5-1-10-2-12-9-3-6-8-11-7-4
108,96504083,49583753,8,8,0,3-4-10-2-12-8-11-1-6-5-7-9
109,81311774,53003390,4,4,0,8-3-7-2-4-5-1-11-10-12-6-9
110,86743339,60694424,3,3,0,12-11-7-2-1-5-10-4-6-9-3-8
111,66841757,44492964,4,4,0,11-5-7-3-12-1-10-9-2-4-6-8
112,83160364,48637299,10,10,0,9-1-6-12-4-7-2-11-10-8-5-3
113,84786781,54073815,6,6,0,3-8-1-12-11-9-5-10-6-2-4-7
114,84682002,54581865,3,3,0,6-4-7-2-11-12-9-8-10-5-1-3
115,90933099,55071448,6,6,0,2-7-8-12-3-4-11-1-5-9-10-6
116,71622061,48177736,6,6,0,9-6-11-2-1-4-12-7-10-5-3-8
117,69891473,52578696,3,3,0,1-11-8-2-12-9-5-3-6-7-10-4
118,78532292,54545960,5,5,0,9-6-1-12-2-11-8-4-10-3-5-7
119,83307806,66511451,2,2,0,10-1-3-8-5-12-2-7-6-11-9-4
120,74514165,52284995,6,6,0,9-8-5-2-3-11-6-10-7-12-1-4
121,85988676,57265693,3,3,0,7-11-10-3-2-9-4-5-8-12-1-6
122,64521947,64521947,1,1,0,5-1-3-9-7-6-2-11-4-10-8-12
123,88132262,51565285,6,6,0,7-4-2-3-11-5-10-8-9-1-12-6
124,53503272,53503272,1,1,0,5-6-10-7-11-1-12-4-2-3-9-8
125,77971081,46547983,7,7,0,5-9-6-2-3-12-11-10-7-8-1-4
126,64011112,59062979,5,5,0,2-7-8-11-12-1-5-4-3-6-10-9
127,99740890,56394402,4,4,0,7-1-4-12-3-8-2-6-9-10-5-11
128,87440314,56761264,7,7,0,8-11-2-4-3-5-10-6-9-1-12-7
129,66518526,52641962,5,5,0,1-8-11-2-9-6-7-3-12-10-4-5
130,82544414,49164836,4,4,0,4-2-7-3-12-5-1-11-9-8-6-10
131,67041704,48014640,5,5,0,10-7-3-2-5-4-6-8-11-1-12-9
132,64924457,57929107,3,3,0,6-1-5-12-4-9-3-7-2-8-10-11
133,79963522,53589780,4,4,0,10-7-3-2-11-4-6-12-5-1-8-9
134,86964516,50465532,6,6,0,5-3-8-1-4-9-2-7-11-12-6-10
135,71158563,51817956,4,4,0,3-11-9-2-10-6-4-1-5-8-12-7
136,91944804,51264267,5,5,0,9-6-7-2-4-1-11-12-3-10-8-5
137,92721732,52915075,5,5,0,1-4-8-2-9-5-10-3-11-6-12-7
138,81887303,48618177,5,5,0,7-2-8-3-9-10-1-11-4-6-12-5
