i,cost,steps,visited,time,permutation
0,39464925,11,234,0,11-8-4-2-12-3-6-9-1-10-5-7
1,44474467,31,499,1,11-8-3-2-12-4-6-9-10-1-5-7
2,45196749,28,526,1,7-1-9-2-12-4-3-8-10-11-6-5
3,39900385,13,227,0,10-8-11-2-12-3-6-5-1-4-9-7
4,45532174,19,377,1,5-3-7-2-12-8-1-10-6-9-11-4
5,47011280,18,457,1,4-7-3-2-10-5-9-11-8-1-12-6
6,43975950,29,636,1,8-11-5-2-3-6-9-7-12-10-1-4
7,44514278,30,554,1,8-11-9-2-1-6-4-5-12-7-3-10
8,46176554,13,323,0,7-6-3-2-4-11-12-8-9-1-10-5
9,44998590,22,503,1,4-8-11-2-1-7-6-10-12-9-3-5
10,47625105,25,527,1,3-8-11-2-4-7-6-1-12-9-10-5
11,45808949,17,407,0,10-11-5-12-2-6-9-4-7-8-1-3
12,46779262,16,250,0,3-8-11-2-12-4-6-1-10-9-7-5
13,41788484,24,393,1,8-7-5-2-12-1-9-6-3-10-4-11
14,45296189,22,520,1,10-7-3-2-12-5-8-4-6-1-9-11
15,42602486,21,289,1,10-8-1-2-12-4-6-5-11-3-9-7
16,42871989,38,855,2,8-1-6-12-4-9-2-5-11-7-10-3
17,44474467,24,690,1,11-8-3-2-12-4-6-9-10-1-5-7
18,43870751,19,357,1,4-8-10-12-9-1-6-11-2-3-5-7
19,46962119,17,288,0,9-8-11-12-2-5-6-7-10-4-1-3
20,45296189,26,474,1,10-7-3-2-12-5-8-4-6-1-9-11
21,44402047,27,387,1,5-3-8-2-12-7-1-10-9-6-11-4
22,47733239,15,389,0,1-11-5-2-12-10-9-3-4-8-6-7
23,45622072,19,282,1,5-7-6-2-3-9-8-10-11-12-1-4
24,43872006,18,260,1,5-11-3-2-12-10-9-8-4-1-6-7
25,45438614,18,256,1,8-3-10-2-12-11-1-6-9-4-7-5
26,47039630,21,532,1,1-11-10-2-12-8-9-3-6-5-7-4
27,43578975,24,567,1,11-5-7-2-3-9-8-4-12-6-1-10
28,45086857,19,340,1,8-11-7-2-3-12-4-5-9-6-1-10
29,43872006,19,362,1,5-11-3-2-12-10-9-8-4-1-6-7
30,43926870,27,328,2,11-1-9-2-12-8-3-4-6-7-5-10
31,46615083,28,326,2,5-6-1-2-10-11-12-8-9-3-4-7
32,47406391,16,280,2,8-11-1-2-12-7-4-6-9-3-10-5
33,45438614,27,436,2,8-3-10-2-12-11-1-6-9-4-7-5
34,39464925,12,173,0,11-8-4-2-12-3-6-9-1-10-5-7
35,43947205,22,435,1,11-1-7-12-9-8-2-4-5-6-10-3
36,43998453,22,500,1,8-3-7-2-12-11-1-6-4-9-5-10
37,54586537,20,441,1,2-4-5-12-9-6-11-1-7-8-10-3
38,43935006,16,280,0,9-1-7-12-4-8-2-11-5-6-10-3
