i,initialCost,cost,steps,visited,time,permutation
0,84855832,44817159,10,660,1,8-10-9-12-2-7-4-5-6-11-1-3
1,71762972,41147484,6,396,0,8-6-5-2-4-3-12-7-1-10-11-9
2,65996176,42850796,8,528,1,6-11-8-2-10-1-4-7-3-5-12-9
3,54643229,48185919,5,330,0,1-4-5-2-12-6-10-3-7-8-9-11
4,76578494,44817159,10,660,1,8-10-9-12-2-7-4-5-6-11-1-3
5,84115128,43870751,7,462,0,4-8-10-12-9-1-6-11-2-3-5-7
6,71360942,40592979,7,462,0,10-8-11-2-9-3-7-5-1-4-12-6
7,100531624,44474467,10,660,1,11-8-3-2-12-4-6-9-10-1-5-7
8,98994964,44357890,6,396,1,12-7-6-2-10-1-8-9-3-5-4-11
9,79640368,43208037,13,858,1,8-3-6-2-12-9-1-5-11-7-4-10
10,64862651,44280147,6,396,0,9-5-11-2-3-6-8-7-12-4-1-10
11,92575598,45690427,8,528,0,5-7-3-2-11-10-9-8-4-1-12-6
12,89832690,43872006,10,660,0,5-11-3-2-12-10-9-8-4-1-6-7
13,79976886,39464925,8,528,0,11-8-4-2-12-3-6-9-1-10-5-7
14,58862657,46779262,4,264,0,3-8-11-2-12-4-6-1-10-9-7-5
15,93494376,43770299,9,594,1,8-3-11-2-12-7-1-5-6-9-4-10
16,77628612,45392719,7,462,0,9-3-6-2-12-11-1-7-4-8-5-10
17,85229669,43726012,9,594,0,6-7-12-2-10-1-9-8-3-5-4-11
18,59425219,41380734,8,528,0,9-6-11-2-10-3-12-7-1-4-5-8
19,67737127,45097713,6,396,0,3-8-10-2-12-11-6-1-9-4-7-5
20,96006660,42871989,9,594,1,8-1-6-12-4-9-2-5-11-7-10-3
21,94301970,45392719,7,462,1,9-3-6-2-12-11-1-7-4-8-5-10
22,90216817,45753405,7,462,0,8-1-6-2-9-5-3-7-10-12-11-4
23,106825310,44549682,10,660,1,11-3-7-2-9-6-1-4-12-8-5-10
24,105143303,42602486,13,858,2,10-8-1-2-12-4-6-5-11-3-9-7
25,89356512,44722954,11,726,1,10-8-1-2-4-11-7-5-9-3-12-6
26,88675710,42871989,10,660,1,8-1-6-12-4-9-2-5-11-7-10-3
27,57290612,43979264,7,462,0,11-1-5-12-9-7-2-4-6-8-10-3
28,77824399,42871989,9,594,0,8-1-6-12-4-9-2-5-11-7-10-3
29,85021430,47117604,7,462,1,2-8-4-12-3-9-6-1-7-11-10-5
30,65779785,45883928,7,462,1,9-8-7-2-3-5-6-11-10-12-1-4
31,78840481,48043862,9,594,0,1-11-4-2-12-5-9-3-8-10-6-7
32,81504208,43578975,7,462,0,11-5-7-2-3-9-8-4-12-6-1-10
33,85504979,44722954,10,660,0,10-8-1-2-4-11-7-5-9-3-12-6
34,77409841,48659313,9,594,1,8-10-1-2-9-6-4-7-12-3-11-5
35,77262686,43654254,8,528,1,5-4-8-12-2-7-11-10-9-6-1-3
36,103020523,47053217,6,396,0,8-6-1-2-9-4-12-7-11-3-10-5
37,96402095,43885833,10,660,0,5-1-8-2-9-6-3-10-12-7-11-4
38,67886269,48032250,5,330,2,10-7-3-2-11-6-9-4-12-1-5-8
39,109883747,40063583,9,594,1,5-11-4-2-12-1-9-8-3-10-6-7
40,90058203,46042780,11,726,0,10-8-1-2-11-5-6-4-12-3-9-7
41,89451127,44474467,9,594,0,11-8-3-2-12-4-6-9-10-1-5-7
42,70292791,44825625,12,792,1,9-3-7-2-12-8-1-11-5-6-10-4
43,90600850,44422764,7,462,0,4-5-6-12-2-11-8-10-9-7-1-3
44,67152071,47363486,7,462,0,1-6-4-2-10-9-7-3-12-11-5-8
45,83736580,40189191,7,462,0,4-8-5-2-12-3-6-11-1-10-9-7
46,72229389,45749427,6,396,0,5-6-8-2-1-11-12-10-9-7-3-4
47,87913987,44177443,7,462,0,8-1-11-12-4-7-2-5-6-9-10-3
48,69788916,41628522,7,462,0,7-6-9-2-4-3-12-8-1-11-10-5
49,79961253,45296189,9,594,0,10-7-3-2-12-5-8-4-6-1-9-11
50,116178748,48873455,8,528,0,3-6-7-2-10-11-12-1-4-9-5-8
51,85643019,40673930,8,528,0,9-8-11-2-10-3-5-7-1-4-12-6
52,91056482,47169158,7,462,0,8-7-3-2-12-10-9-6-5-1-4-11
53,80530631,43654254,10,660,0,5-4-8-12-2-7-11-10-9-6-1-3
54,109684189,46970032,7,462,0,5-4-1-2-12-6-10-8-7-3-9-11
55,89440295,43935006,7,462,0,9-1-7-12-4-8-2-11-5-6-10-3
56,93456565,45196749,10,660,0,7-1-9-2-12-4-3-8-10-11-6-5
57,82813574,43718055,8,528,0,4-8-1-2-9-10-7-11-5-3-12-6
58,74096820,41562982,8,528,0,5-6-10-2-11-1-12-8-3-4-9-7
59,63942566,41660606,9,594,0,10-7-5-2-12-1-6-4-3-8-9-11
60,61888749,45248160,7,462,0,9-3-7-2-4-6-1-11-12-8-5-10
61,71154307,45041497,6,396,0,7-6-5-2-1-11-12-8-9-4-3-10
62,85028308,41445144,7,462,0,6-11-8-2-12-1-9-7-3-5-10-4
63,67488224,47658735,6,396,0,3-11-10-2-12-7-4-1-9-5-6-8
64,90874243,45510624,6,396,0,7-1-6-12-9-5-2-11-10-8-4-3
65,63309084,44897133,7,462,0,8-11-6-2-1-7-4-5-9-12-3-10
66,95619391,47879878,6,396,0,3-8-1-12-9-4-6-10-11-2-7-5
67,62670510,41788484,7,462,0,8-7-5-2-12-1-9-6-3-10-4-11
68,108831041,46585051,12,792,0,1-7-10-2-4-6-8-3-12-5-9-11
69,83451709,39900385,9,594,0,10-8-11-2-12-3-6-5-1-4-9-7
