i,initialCost,cost,steps,visited,time,permutation
0,84565569,84565569,0,0,0,2-6-12-11-1-7-10-9-5-4-3-8
1,94440864,94440864,0,0,0,8-1-10-2-5-6-7-4-11-3-12-9
2,86251718,86251718,0,0,0,10-4-7-5-1-12-2-9-6-3-8-11
3,65552707,65552707,0,0,0,10-6-4-1-5-3-8-12-7-2-11-9
4,94092452,94092452,0,0,0,1-8-5-9-7-4-3-6-2-11-10-12
5,77613715,77613715,0,0,0,11-10-8-3-7-6-5-9-1-2-12-4
6,79037163,79037163,0,0,0,8-7-6-9-1-12-11-3-2-10-5-4
7,85458013,85458013,0,0,0,6-7-8-1-11-5-10-3-9-2-12-4
8,76838316,76838316,0,0,0,3-9-11-12-8-6-1-2-4-10-7-5
9,95167501,95167501,0,0,0,10-12-1-4-8-11-5-2-7-9-3-6
10,79476987,79476987,0,0,0,9-12-10-3-7-8-11-4-2-1-5-6
11,103592195,103592195,0,0,0,1-7-11-9-4-10-5-8-12-3-6-2
12,99702961,99702961,0,0,0,7-11-4-6-12-3-10-2-5-8-9-1
13,74123555,74123555,0,0,0,11-5-10-1-4-9-6-3-7-12-8-2
14,79410053,79410053,0,0,0,6-10-7-12-11-2-3-5-4-8-1-9
15,66001302,66001302,0,0,0,11-6-8-3-9-2-12-7-5-4-1-10
16,103333549,103333549,0,0,0,7-6-12-8-5-9-2-10-3-4-11-1
17,70658805,70658805,0,0,0,7-2-8-3-4-9-5-11-6-12-10-1
18,59496721,59496721,0,0,0,10-5-6-7-1-2-4-9-3-8-11-12
19,55756500,55756500,0,0,0,7-10-1-2-11-6-5-8-4-3-12-9
20,71787648,71787648,0,0,0,11-4-3-8-6-12-2-5-10-1-9-7
21,104363076,104363076,0,0,0,2-5-10-8-4-7-3-6-9-12-11-1
22,96473703,96473703,0,0,0,3-4-10-5-11-7-1-8-9-6-2-12
23,100857352,100857352,0,0,0,10-1-2-12-4-3-11-6-7-8-9-5
24,60164807,60164807,0,0,0,2-11-7-4-1-12-10-3-8-9-6-5
25,88143877,88143877,0,0,0,5-7-3-9-4-6-8-2-11-10-12-1
26,75541108,75541108,0,0,0,4-6-8-9-3-11-2-7-5-12-1-10
27,63024049,63024049,0,0,0,11-7-3-12-8-9-10-5-6-1-2-4
28,70907492,70907492,0,0,0,8-5-11-10-12-6-9-4-7-1-3-2
29,85101348,85101348,0,0,0,10-7-3-1-5-6-2-12-8-9-4-11
30,90049815,90049815,0,0,0,1-8-5-12-4-2-6-7-11-10-9-3
31,57080533,57080533,0,0,0,7-9-2-6-3-12-11-8-5-1-10-4
32,98564530,98564530,0,0,0,11-3-4-6-12-7-9-5-1-10-2-8
33,81709266,81709266,0,0,0,6-12-10-11-3-4-7-2-8-5-1-9
34,86042995,86042995,0,0,0,6-10-5-11-9-3-12-8-4-1-7-2
35,91610879,91610879,0,0,0,11-9-7-10-1-3-2-8-6-12-4-5
36,85460455,85460455,0,0,0,5-10-4-11-1-12-6-9-2-8-7-3
37,87769691,87769691,0,0,0,5-6-3-10-1-11-2-12-4-9-7-8
38,89466328,89466328,0,0,0,10-4-3-9-5-12-2-8-6-11-1-7
39,65801522,65801522,0,0,0,12-5-10-1-2-8-11-4-9-3-6-7
40,107841811,107841811,0,0,0,3-11-8-9-10-4-2-7-6-12-5-1
41,86092920,86092920,0,0,0,9-3-10-1-2-11-12-5-7-8-6-4
42,70235583,70235583,0,0,0,6-8-4-9-5-10-11-12-1-7-2-3
43,78634679,78634679,0,0,0,1-11-6-10-3-5-4-7-9-8-2-12
44,86034025,86034025,0,0,0,4-3-12-2-10-5-8-9-7-11-6-1
45,62743980,62743980,0,0,0,10-4-6-3-1-11-5-8-2-12-9-7
46,93821324,93821324,0,0,0,10-4-3-5-7-12-6-9-1-8-2-11
47,62556398,62556398,0,0,0,10-4-8-9-12-3-6-7-1-2-11-5
48,67107474,67107474,0,0,0,9-8-4-11-10-6-5-12-7-2-3-1
49,69909331,69909331,0,0,0,6-12-2-3-1-9-8-4-7-10-5-11
50,70943720,70943720,0,0,0,1-12-6-9-4-11-7-3-2-10-5-8
51,68870591,68870591,0,0,0,10-7-5-6-9-1-3-11-2-4-12-8
52,92793918,92793918,0,0,0,5-9-7-6-10-11-3-2-8-12-1-4
53,91543803,91543803,0,0,0,4-2-10-11-1-12-7-8-3-5-9-6
54,106131958,106131958,0,0,0,12-4-1-9-10-2-11-3-8-7-6-5
55,97428094,97428094,0,0,0,3-10-7-6-12-8-5-9-11-2-1-4
56,102180993,102180993,0,0,0,3-2-8-9-1-10-4-7-12-11-5-6
57,76286838,76286838,0,0,0,2-7-5-1-9-11-6-10-4-12-8-3
58,89410868,89410868,0,0,0,8-7-9-5-12-3-10-6-11-1-4-2
59,71876294,71876294,0,0,0,10-4-5-1-2-3-9-7-6-11-12-8
60,80491542,80491542,0,0,0,12-2-7-8-6-5-9-4-11-10-1-3
61,96804363,96804363,0,0,0,5-3-11-10-6-4-12-8-2-7-1-9
62,68995551,68995551,0,0,0,3-12-2-4-6-5-7-1-8-9-10-11
63,68963331,68963331,0,0,0,7-4-12-10-5-6-3-8-11-9-1-2
64,84486647,84486647,0,0,0,9-10-7-6-1-2-3-5-11-8-4-12
65,67650991,67650991,0,0,0,7-10-12-3-5-8-1-6-2-9-4-11
66,72000994,72000994,0,0,0,8-5-12-10-9-7-11-4-6-1-2-3
67,86646384,86646384,0,0,0,6-2-5-8-10-4-11-9-3-12-7-1
68,97557475,97557475,0,0,0,7-4-1-10-6-3-2-5-8-12-11-9
69,99643807,99643807,0,0,0,10-4-12-8-9-5-11-7-3-1-6-2
70,79917914,79917914,0,0,0,11-6-10-1-8-5-2-7-9-12-3-4
71,91221455,91221455,0,0,0,8-10-7-4-11-1-9-6-5-3-12-2
72,87731321,87731321,0,0,0,6-7-12-9-2-10-1-3-5-11-8-4
73,65425593,65425593,0,0,0,10-5-7-6-8-4-12-1-9-11-3-2
74,103052878,103052878,0,0,0,6-1-9-8-12-2-7-11-4-10-3-5
75,90626948,90626948,0,0,0,5-11-4-6-7-9-3-10-8-2-1-12
76,69639175,69639175,0,0,0,11-6-12-3-10-1-4-9-5-2-7-8
77,72230576,72230576,0,0,0,1-8-4-9-11-7-2-3-5-6-12-10
78,105191382,105191382,0,0,0,3-1-9-7-8-4-5-11-6-10-12-2
79,77397194,77397194,0,0,0,5-11-4-1-8-9-2-12-3-10-7-6
80,103604192,103604192,0,0,0,5-2-1-8-12-4-7-3-6-10-9-11
81,84618497,84618497,0,0,0,12-10-4-8-1-5-7-3-9-6-11-2
82,74492123,74492123,0,0,0,9-3-11-2-1-5-10-6-4-7-8-12
83,62490828,62490828,0,0,0,1-10-6-3-4-11-7-2-5-9-8-12
84,63818142,63818142,0,0,0,2-6-5-11-8-1-10-4-3-7-9-12
85,96523591,96523591,0,0,0,12-7-2-9-11-6-8-1-3-4-10-5
86,101530785,101530785,0,0,0,12-6-10-4-11-7-3-1-2-5-8-9
87,72178117,72178117,0,0,0,6-9-10-7-2-1-5-8-11-4-3-12
88,82145698,82145698,0,0,0,8-10-6-2-4-3-9-12-11-7-5-1
89,76751697,76751697,0,0,0,3-7-11-5-12-10-1-2-9-8-4-6
