i,initialCost,cost,steps,visited,time,permutation
0,84994106,47039630,19,799,1,1-11-10-2-12-8-9-3-6-5-7-4
1,66938158,46294024,12,799,0,1-8-4-2-12-10-6-3-5-11-9-7
2,72183836,48214322,19,799,1,11-5-3-2-12-7-8-9-6-1-10-4
3,73884001,47230595,18,799,1,1-7-5-2-12-10-6-3-4-8-9-11
4,84089643,45300379,16,799,1,11-8-3-2-9-10-5-7-4-1-12-6
5,103897921,43208037,14,799,0,8-3-6-2-12-9-1-5-11-7-4-10
6,63767563,43654254,14,799,0,5-4-8-12-2-7-11-10-9-6-1-3
7,103563262,46950524,29,799,2,3-8-5-2-12-11-6-1-9-7-4-10
8,95022133,44512672,15,799,0,8-11-6-2-3-5-9-7-10-12-1-4
9,77760588,43979264,14,799,0,11-1-5-12-9-7-2-4-6-8-10-3
10,98154644,47180345,14,799,0,3-5-11-2-12-7-8-1-6-9-4-10
11,115431000,45097713,17,799,1,3-8-10-2-12-11-6-1-9-4-7-5
12,90601209,44177443,21,799,1,8-1-11-12-4-7-2-5-6-9-10-3
13,96564257,46972674,14,799,1,1-8-4-2-9-10-7-3-5-11-12-6
14,73707947,44902888,12,799,1,7-1-5-2-9-6-3-11-12-8-4-10
15,64110417,41118566,12,799,1,5-7-11-2-10-1-9-8-3-4-12-6
16,70949411,45296189,16,799,1,10-7-3-2-12-5-8-4-6-1-9-11
17,86046434,43048892,17,799,1,11-6-8-2-4-3-12-9-1-5-10-7
18,96068558,43818931,16,799,1,8-6-7-2-1-11-12-5-4-9-3-10
19,75503795,43872006,15,799,1,5-11-3-2-12-10-9-8-4-1-6-7
20,60791699,46005721,4,799,0,1-8-10-2-12-4-6-3-11-5-9-7
21,106770236,39464925,30,799,1,11-8-4-2-12-3-6-9-1-10-5-7
22,83236183,46042780,12,799,0,10-8-1-2-11-5-6-4-12-3-9-7
23,96108051,46220778,14,799,0,8-7-3-2-12-4-9-6-11-1-10-5
24,84854059,44035606,21,799,1,7-8-11-2-3-9-6-5-12-4-1-10
25,89883747,44887472,37,799,2,7-5-9-12-2-4-8-6-10-11-1-3
26,64088102,43870751,11,799,0,4-8-10-12-9-1-6-11-2-3-5-7
27,89846436,41810066,18,799,1,8-11-5-2-4-1-9-6-3-10-12-7
28,63838516,40592979,14,799,0,10-8-11-2-9-3-7-5-1-4-12-6
29,67479556,46042780,13,799,0,10-8-1-2-11-5-6-4-12-3-9-7
30,101225676,42532142,28,799,1,7-5-9-2-12-3-8-6-1-11-4-10
31,76438882,45097713,15,799,1,3-8-10-2-12-11-6-1-9-4-7-5
32,111761207,47194570,21,799,1,8-10-1-2-12-11-4-6-9-3-7-5
33,92082591,48185919,8,799,0,1-4-5-2-12-6-10-3-7-8-9-11
34,81373488,51815438,15,799,0,1-11-3-12-6-8-9-2-7-10-5-4
35,52383450,44177443,15,799,0,8-1-11-12-4-7-2-5-6-9-10-3
36,90465392,42871989,25,799,1,8-1-6-12-4-9-2-5-11-7-10-3
37,71452059,43770299,22,799,1,8-3-11-2-12-7-1-5-6-9-4-10
38,72326669,41380734,19,799,1,9-6-11-2-10-3-12-7-1-4-5-8
39,85166734,43048892,24,799,1,11-6-8-2-4-3-12-9-1-5-10-7
40,92024432,42871989,17,799,2,8-1-6-12-4-9-2-5-11-7-10-3
41,79447108,47625105,8,799,0,3-8-11-2-4-7-6-1-12-9-10-5
42,90178313,41810066,23,799,1,8-11-5-2-4-1-9-6-3-10-12-7
43,80926943,42871989,17,799,1,8-1-6-12-4-9-2-5-11-7-10-3
44,102525070,43208037,19,799,1,8-3-6-2-12-9-1-5-11-7-4-10
45,88653421,44733354,25,799,1,5-7-3-2-12-10-6-8-4-1-11-9
46,63186553,43208037,26,799,1,8-3-6-2-12-9-1-5-11-7-4-10
47,76578281,40063583,16,799,1,5-11-4-2-12-1-9-8-3-10-6-7
48,84266598,43982405,16,799,1,4-8-10-12-9-1-5-11-2-3-7-6
49,72970182,45819953,18,799,1,6-3-8-2-12-10-1-7-4-5-9-11
50,82471005,43897060,5,799,0,10-11-8-2-4-1-9-5-3-6-12-7
51,89067217,43469707,23,799,1,4-8-1-2-12-10-6-11-5-3-9-7
52,96257568,44447231,23,799,2,5-8-7-12-2-11-6-10-4-9-1-3
53,83078315,45096955,19,799,1,6-11-7-2-3-5-9-8-10-12-1-4
54,82164753,39900385,21,799,1,10-8-11-2-12-3-6-5-1-4-9-7
55,72657208,43718055,15,799,1,4-8-1-2-9-10-7-11-5-3-12-6
56,77944904,47096547,12,799,0,5-7-3-2-10-6-9-8-12-1-4-11
57,85896115,41660606,16,799,1,10-7-5-2-12-1-6-4-3-8-9-11
58,81286996,40063583,18,799,1,5-11-4-2-12-1-9-8-3-10-6-7
59,55928676,43770299,15,799,1,8-3-11-2-12-7-1-5-6-9-4-10
60,81177866,44887472,14,799,1,7-5-9-12-2-4-8-6-10-11-1-3
61,58641260,44742673,11,799,0,4-8-1-2-12-11-6-10-9-3-7-5
62,93082628,43770299,12,799,0,8-3-11-2-12-7-1-5-6-9-4-10
63,84639423,45018718,15,799,1,8-3-6-2-11-7-1-5-9-12-4-10
64,81633116,43518958,19,799,1,5-1-8-12-11-7-2-10-9-6-4-3
65,54852290,45622072,7,799,0,5-7-6-2-3-9-8-10-11-12-1-4
66,60747292,42532142,12,799,0,7-5-9-2-12-3-8-6-1-11-4-10
67,99491871,45877579,19,799,1,7-4-8-2-3-6-11-9-12-5-1-10
68,119026125,41117029,14,799,1,5-7-4-2-12-1-6-8-3-10-11-9
69,90747583,45097713,21,799,2,3-8-10-2-12-11-6-1-9-4-7-5
70,90031124,46477214,13,799,0,8-11-4-12-2-6-9-5-7-10-1-3
71,85261464,44549682,12,799,0,11-3-7-2-9-6-1-4-12-8-5-10
72,91230033,48100770,11,799,0,1-7-5-2-10-6-9-3-12-8-4-11
73,64268817,43935006,20,799,1,9-1-7-12-4-8-2-11-5-6-10-3
74,68457822,46091613,10,799,0,9-8-7-12-2-4-6-11-10-5-1-3
75,94904378,48873455,10,799,0,3-6-7-2-10-11-12-1-4-9-5-8
76,53737447,46779262,12,799,0,3-8-11-2-12-4-6-1-10-9-7-5
77,85695322,45097713,30,799,1,3-8-10-2-12-11-6-1-9-4-7-5
78,70240647,43718055,17,799,1,4-8-1-2-9-10-7-11-5-3-12-6
79,99208661,43818931,14,799,0,8-6-7-2-1-11-12-5-4-9-3-10
80,105207783,40186797,18,799,1,4-8-5-3-12-1-6-11-2-10-9-7
81,81520992,45041497,19,799,1,7-6-5-2-1-11-12-8-9-4-3-10
82,89947100,47101676,18,799,1,1-11-5-2-12-6-9-3-7-8-10-4
83,82218697,42871989,21,799,1,8-1-6-12-4-9-2-5-11-7-10-3
84,64543312,44742673,12,799,0,4-8-1-2-12-11-6-10-9-3-7-5
85,103472869,43654254,18,799,1,5-4-8-12-2-7-11-10-9-6-1-3
86,68173344,47299579,18,799,1,1-8-4-2-10-6-5-3-12-11-9-7
87,58754315,43818931,17,799,1,8-6-7-2-1-11-12-5-4-9-3-10
88,92677825,42996546,22,799,1,10-8-1-2-9-4-7-5-11-3-12-6
89,78227236,44887472,11,799,0,7-5-9-12-2-4-8-6-10-11-1-3
90,73009897,43935006,23,799,1,9-1-7-12-4-8-2-11-5-6-10-3
91,95504810,44512672,19,799,1,8-11-6-2-3-5-9-7-10-12-1-4
92,87342677,42560967,12,799,0,4-7-8-2-10-1-6-11-3-5-12-9
93,79737464,44897133,24,799,1,8-11-6-2-1-7-4-5-9-12-3-10
94,93745981,43947205,14,799,0,11-1-7-12-9-8-2-4-5-6-10-3
95,72450800,44887472,13,799,0,7-5-9-12-2-4-8-6-10-11-1-3
96,76973290,47155414,13,799,1,8-6-1-2-4-10-12-7-5-3-11-9
97,98438674,44688689,17,799,1,9-10-7-12-2-8-4-11-5-6-1-3
98,84401525,42512310,19,799,1,11-5-9-2-1-6-8-4-12-7-3-10
99,97192149,48446928,16,799,1,8-5-2-3-4-6-10-7-12-1-11-9
100,79976728,43770299,16,799,1,8-3-11-2-12-7-1-5-6-9-4-10
101,81204965,47785711,17,799,1,6-10-12-2-4-9-5-8-11-7-3-1
102,93887985,46445592,16,799,1,8-11-3-2-12-10-4-6-5-1-9-7
103,75039521,40063583,17,799,1,5-11-4-2-12-1-9-8-3-10-6-7
104,81691577,46847111,10,799,0,8-4-2-3-12-5-10-7-6-1-9-11
105,92955974,46604192,15,799,0,8-11-3-2-12-5-9-7-6-1-10-4
106,72031043,47072990,13,799,0,1-7-10-2-12-5-8-3-6-4-9-11
107,79018324,41389224,16,799,1,4-7-5-2-12-1-9-11-3-10-6-8
108,96941538,45808949,19,799,1,10-11-5-12-2-6-9-4-7-8-1-3
109,74409162,43947205,15,799,1,11-1-7-12-9-8-2-4-5-6-10-3
110,63074316,47224364,12,799,1,5-7-3-2-9-10-6-8-12-1-4-11
111,71852575,41336398,29,799,2,5-7-4-2-12-1-8-6-3-10-11-9
112,56452511,43947205,13,799,0,11-1-7-12-9-8-2-4-5-6-10-3
113,91730334,41562050,18,799,1,4-8-11-2-12-3-6-10-1-9-7-5
114,75201233,46848308,15,799,0,8-4-1-2-12-5-10-7-6-3-9-11
115,85331062,44722954,17,799,1,10-8-1-2-4-11-7-5-9-3-12-6
116,85362822,42602486,11,799,0,10-8-1-2-12-4-6-5-11-3-9-7
117,78800954,43776493,17,799,1,4-6-9-2-10-3-12-11-1-7-5-8
118,66758436,47180345,11,799,0,3-5-11-2-12-7-8-1-6-9-4-10
119,101330043,49767091,13,799,0,1-8-6-2-9-10-7-3-4-12-11-5
120,55234273,42512310,10,799,0,11-5-9-2-1-6-8-4-12-7-3-10
121,98092480,39464925,28,799,1,11-8-4-2-12-3-6-9-1-10-5-7
122,70129103,43067498,15,799,0,7-6-8-2-10-3-12-9-1-5-4-11
123,88298407,41389224,19,799,1,4-7-5-2-12-1-9-11-3-10-6-8
124,84255448,41788484,16,799,1,8-7-5-2-12-1-9-6-3-10-4-11
125,102453689,44177443,19,799,2,8-1-11-12-4-7-2-5-6-9-10-3
126,85206211,40189191,18,799,1,4-8-5-2-12-3-6-11-1-10-9-7
127,91787996,47224364,14,799,1,5-7-3-2-9-10-6-8-12-1-4-11
128,95502191,41117029,26,799,1,5-7-4-2-12-1-6-8-3-10-11-9
129,83797574,46422452,20,799,1,3-8-10-2-4-11-7-1-9-5-12-6
130,67953377,44998590,19,799,1,4-8-11-2-1-7-6-10-12-9-3-5
131,87412236,44510376,18,799,1,7-6-9-2-1-4-12-8-10-11-3-5
132,91179222,44902888,17,799,1,7-1-5-2-9-6-3-11-12-8-4-10
133,102434440,43885833,18,799,1,5-1-8-2-9-6-3-10-12-7-11-4
134,91173241,44514278,17,799,1,8-11-9-2-1-6-4-5-12-7-3-10
135,87949222,44549682,13,799,0,11-3-7-2-9-6-1-4-12-8-5-10
136,81092364,39464925,14,799,0,11-8-4-2-12-3-6-9-1-10-5-7
137,70423562,45015794,13,799,0,9-5-7-2-3-6-10-11-12-8-1-4
138,78315732,42871989,14,799,0,8-1-6-12-4-9-2-5-11-7-10-3
139,59151016,45097713,12,799,0,3-8-10-2-12-11-6-1-9-4-7-5
140,86888002,46969129,14,799,1,8-1-6-4-11-7-2-5-9-12-10-3
141,106241323,45419667,11,799,1,12-5-7-2-9-3-8-6-1-11-4-10
142,75027341,39900385,19,799,1,10-8-11-2-12-3-6-5-1-4-9-7
143,74202834,47733239,13,799,0,1-11-5-2-12-10-9-3-4-8-6-7
144,84447699,47194570,16,799,1,8-10-1-2-12-11-4-6-9-3-7-5
145,69577104,48118741,15,799,1,3-11-7-2-10-6-9-1-12-8-5-4
146,62167249,45010326,11,799,0,9-8-5-2-3-6-7-11-12-10-1-4
147,83844557,39900385,21,799,1,10-8-11-2-12-3-6-5-1-4-9-7
148,63442265,47039630,17,799,1,1-11-10-2-12-8-9-3-6-5-7-4
149,92045501,40376142,14,799,0,9-8-11-3-12-1-6-7-2-4-10-5
150,95972528,45010326,10,799,0,9-8-5-2-3-6-7-11-12-10-1-4
151,85837089,47238460,19,799,1,8-7-5-12-2-4-9-6-11-10-1-3
152,103399030,47363486,9,799,0,1-6-4-2-10-9-7-3-12-11-5-8
153,95972091,43208037,13,799,0,8-3-6-2-12-9-1-5-11-7-4-10
154,75501088,45249496,11,799,0,11-8-9-12-3-5-6-4-10-7-1-2
155,76965143,43468537,17,799,1,4-8-2-3-12-10-6-11-5-1-9-7
156,88638246,41118566,14,799,1,5-7-11-2-10-1-9-8-3-4-12-6
157,99399880,41799067,14,799,2,6-4-8-3-12-1-10-7-2-5-9-11
158,89950122,48375691,22,799,1,3-11-8-2-12-7-4-1-9-6-5-10
159,85327768,46972674,21,799,2,1-8-4-2-9-10-7-3-5-11-12-6
160,72873774,46454007,17,799,1,5-3-10-2-12-7-1-8-6-4-9-11
161,94762598,42512310,16,799,1,11-5-9-2-1-6-8-4-12-7-3-10
162,91723275,40063583,24,799,1,5-11-4-2-12-1-9-8-3-10-6-7
163,104764880,48769537,16,799,1,3-4-5-2-12-7-11-1-9-8-6-10
164,99933062,46220778,23,799,1,8-7-3-2-12-4-9-6-11-1-10-5
165,93870326,47879878,16,799,1,3-8-1-12-9-4-6-10-11-2-7-5
166,59571045,45534509,15,799,1,11-8-4-2-3-6-7-9-12-10-1-5
167,92241395,44474467,22,799,1,11-8-3-2-12-4-6-9-10-1-5-7
168,99127663,45622072,13,799,0,5-7-6-2-3-9-8-10-11-12-1-4
169,49889029,41118566,11,799,0,5-7-11-2-10-1-9-8-3-4-12-6
170,73245223,42512310,12,799,0,11-5-9-2-1-6-8-4-12-7-3-10
171,77682563,44211037,11,799,0,4-5-11-12-2-7-8-10-6-9-1-3
