i,cost,steps,visited,time,permutation
0,418650,8,840,0,6-7-13-5-8-1-11-10-3-12-14-15-4-9-2
1,419866,5,525,0,7-6-10-13-3-2-1-14-8-4-9-12-15-5-11
2,403474,7,735,0,11-5-13-4-10-2-6-14-9-7-8-3-12-1-15
3,406508,6,630,0,6-1-13-14-9-5-7-15-11-4-8-12-10-2-3
4,410112,8,840,1,13-2-11-9-6-14-15-7-4-12-1-3-5-8-10
5,415210,7,735,0,10-6-9-15-13-1-11-3-8-2-14-7-5-4-12
6,406132,7,735,0,15-5-6-14-1-12-4-3-10-7-13-9-11-2-8
7,399932,8,840,0,9-12-8-10-2-7-5-15-14-4-13-6-11-3-1
8,409698,7,735,0,5-12-7-2-3-14-15-13-11-4-1-9-10-8-6
9,414412,6,630,0,1-8-9-11-6-3-10-12-4-7-13-14-2-15-5
10,407136,13,1365,1,4-10-9-11-6-7-8-14-13-5-1-2-3-15-12
11,416182,6,630,1,10-11-13-7-2-1-9-3-12-4-14-6-15-5-8
12,404802,7,735,1,12-1-2-4-5-8-6-14-13-9-10-7-3-11-15
13,403728,6,630,1,13-11-14-9-12-1-2-10-15-3-7-8-5-4-6
14,389718,13,1365,2,6-10-13-2-7-1-9-11-15-3-14-12-4-5-8
15,407648,6,630,1,14-7-9-2-13-6-8-15-10-3-1-11-4-5-12
16,414180,8,840,1,4-7-12-8-15-1-11-2-14-9-13-10-5-3-6
17,394836,8,840,1,11-9-15-12-13-2-14-5-7-10-3-6-1-8-4
18,412436,7,735,1,8-3-12-6-7-11-4-13-14-10-2-5-1-15-9
19,404900,8,840,1,11-2-13-4-14-5-7-10-9-6-8-15-12-1-3
20,398052,9,945,1,6-2-13-10-5-9-7-15-14-12-4-11-8-1-3
21,406756,6,630,0,6-15-10-13-3-2-5-11-7-12-9-1-8-14-4
22,414594,7,735,0,5-3-10-2-7-6-13-4-12-15-1-9-11-8-14
23,404776,9,945,1,4-9-1-2-7-6-5-14-13-10-11-3-15-8-12
24,406356,7,735,1,12-10-15-4-6-7-8-1-9-13-14-5-2-3-11
25,405152,10,1050,1,12-9-7-11-10-2-5-14-13-6-8-3-15-1-4
26,391210,12,1260,1,1-2-5-10-4-3-7-15-14-6-13-8-11-12-9
27,406506,11,1155,1,10-6-15-1-3-5-7-11-14-2-9-12-8-13-4
28,403360,10,1050,1,7-9-5-3-14-6-2-10-1-13-11-4-15-8-12
29,403248,8,840,1,7-12-8-10-4-15-11-9-14-2-5-6-1-3-13
30,412190,11,1155,1,1-12-4-10-11-2-5-6-3-8-7-14-13-15-9
31,400808,8,840,0,7-5-13-3-6-1-9-4-14-2-15-11-8-10-12
32,404394,5,525,0,3-5-10-12-13-2-6-4-1-11-15-9-14-7-8
33,408854,6,630,0,7-9-1-3-4-15-11-6-13-14-5-2-8-10-12
34,396734,10,1050,1,11-1-15-12-13-2-14-3-10-9-4-6-7-5-8
35,402164,5,525,0,11-5-1-12-13-3-10-8-9-7-15-14-6-2-4
36,406398,9,945,1,8-5-2-4-3-11-1-13-6-10-14-15-7-12-9
37,401828,10,1050,1,5-7-13-2-15-6-10-8-9-4-1-11-3-14-12
