i,initialCost,cost,steps,visited,time,permutation
0,494882,419200,39,810,4,12-5-2-4-7-10-9-6-13-14-11-15-3-1-8
1,455624,404328,56,810,7,2-15-12-5-14-3-7-8-4-11-1-9-6-10-13
2,498168,406818,60,810,8,7-3-8-5-12-1-9-6-15-11-14-4-2-10-13
3,468702,403910,42,810,4,7-1-5-3-13-6-2-8-11-4-15-14-9-10-12
4,496184,409400,58,810,7,3-5-12-7-1-13-9-14-2-6-8-4-10-11-15
5,531208,403504,47,810,5,4-3-12-9-15-1-11-2-7-5-8-14-6-10-13
6,504016,398256,48,810,5,11-3-12-7-2-10-5-9-8-6-4-14-1-15-13
7,476246,409390,44,810,4,6-3-8-2-15-5-7-13-11-1-4-9-10-12-14
8,526576,399138,61,810,7,12-14-4-7-2-3-8-10-6-13-11-1-5-15-9
9,517928,396516,33,810,3,8-9-7-6-13-2-5-12-10-1-3-15-11-14-4
10,498014,408242,39,810,4,8-7-9-6-13-3-10-15-11-12-4-1-14-5-2
11,491314,411710,45,810,5,3-13-10-7-1-2-5-8-9-14-15-4-11-6-12
12,469358,412042,36,810,4,5-14-2-8-13-12-11-3-6-15-9-10-7-4-1
13,493090,412896,45,810,5,7-14-8-12-9-11-4-2-6-13-3-10-1-15-5
14,518104,410170,35,810,4,13-1-14-7-2-10-5-3-15-11-4-12-6-9-8
15,484884,416858,42,810,4,2-7-12-14-3-11-4-13-9-8-1-10-5-15-6
16,481090,402908,47,810,5,12-6-2-7-14-3-8-10-5-13-11-1-4-15-9
17,489558,412170,53,810,5,15-10-7-8-1-12-4-5-9-13-14-2-11-3-6
18,494778,405334,42,810,4,2-11-14-5-15-1-10-7-12-4-8-3-9-13-6
19,479144,417990,47,810,5,14-8-13-12-7-4-11-10-9-6-2-1-5-3-15
20,504700,402070,53,810,6,5-13-7-2-1-6-4-8-9-10-15-3-11-14-12
21,518652,405844,53,810,6,12-3-7-8-10-2-5-11-15-14-9-13-1-6-4
22,490094,402670,40,810,4,13-2-6-1-14-7-3-9-8-12-11-4-15-5-10
23,491550,405160,57,810,6,6-5-13-3-1-15-11-14-9-7-8-4-2-10-12
24,515366,414194,48,810,5,7-15-14-10-12-6-2-13-11-4-1-8-5-3-9
25,497564,398138,26,810,2,3-4-7-14-8-2-5-15-11-1-13-9-6-12-10
26,508046,403872,45,810,5,6-9-15-2-13-4-11-3-10-1-5-7-8-14-12
27,487000,395654,41,810,5,5-1-13-15-9-3-7-12-11-4-6-8-2-10-14
28,497680,411262,51,810,6,13-5-7-11-10-2-14-8-3-12-15-9-6-1-4
29,453602,400080,41,810,4,3-10-15-8-1-7-11-14-13-5-6-2-4-9-12
30,476184,391992,50,810,5,8-10-9-6-3-5-7-2-1-15-4-11-12-13-14
31,494438,413796,37,810,4,11-8-4-7-9-2-14-5-3-6-15-10-1-12-13
32,498606,409030,39,810,4,9-12-8-1-15-7-3-13-11-5-2-6-14-4-10
33,519234,390374,44,810,4,10-6-13-1-14-5-7-11-4-8-9-12-15-2-3
34,510056,404074,51,810,5,12-5-3-4-10-11-15-8-7-13-14-9-2-1-6
35,503192,405816,57,810,6,11-10-15-2-9-5-1-6-3-7-14-8-13-12-4
36,484918,403780,48,810,5,1-6-11-9-2-7-5-15-14-8-4-12-3-13-10
37,503172,405094,50,810,5,10-11-15-5-14-1-2-9-12-4-3-8-7-13-6
38,499298,406142,33,810,3,10-6-13-1-9-2-14-12-4-8-11-7-15-5-3
39,511408,412996,48,810,5,14-12-2-15-5-8-6-9-11-4-13-1-7-3-10
40,506842,409476,48,810,5,2-15-11-5-12-6-8-7-3-10-1-4-9-14-13
41,486340,412146,36,810,4,6-12-14-8-2-11-13-7-3-15-10-1-5-4-9
42,490374,413942,37,810,4,2-12-5-8-3-11-1-13-7-15-9-10-14-4-6
43,490682,414862,43,810,4,11-8-13-1-6-5-2-7-4-14-12-10-3-9-15
44,470020,409702,44,810,4,3-11-8-10-12-5-2-9-4-13-6-14-7-1-15
45,505466,398882,39,810,4,1-12-4-10-11-3-7-6-8-2-9-14-5-15-13
46,503716,396644,63,810,6,8-9-6-12-13-2-5-15-10-1-4-11-7-14-3
47,489084,405764,37,810,4,8-11-9-6-4-2-14-5-13-1-10-7-12-15-3
48,506558,388988,55,810,6,11-3-12-1-15-5-2-9-8-6-4-14-10-7-13
49,496334,396894,45,810,5,10-6-13-3-5-9-7-4-14-2-15-11-1-8-12
50,501726,397992,61,810,6,5-3-7-1-15-4-11-9-10-6-13-14-8-12-2
51,511412,414792,43,810,4,4-6-12-7-14-3-15-10-2-5-11-13-1-8-9
52,472680,403718,37,810,4,6-1-13-8-5-9-7-15-11-12-4-14-2-10-3
53,482634,410646,46,810,5,12-1-4-2-11-7-8-10-9-13-14-15-3-5-6
54,508794,410748,54,810,6,5-7-13-1-8-10-9-15-11-12-4-14-6-3-2
55,468882,392834,43,810,4,2-3-14-11-8-12-4-5-7-10-13-9-6-15-1
56,485498,416038,56,810,6,7-4-8-3-11-14-15-2-6-13-10-9-1-12-5
57,455746,404406,48,810,5,9-6-8-1-14-5-2-7-4-12-11-3-15-13-10
58,482662,399194,60,810,6,11-2-13-4-5-12-7-3-6-8-9-10-1-14-15
59,464630,402658,27,810,3,7-5-13-15-11-9-1-6-2-12-14-8-4-10-3
60,526182,400678,55,810,6,11-14-13-12-15-5-7-1-9-10-8-6-3-2-4
61,497120,413462,52,810,5,9-8-10-1-2-7-5-4-6-3-15-14-12-13-11
62,488976,400998,44,810,5,5-15-12-1-3-4-7-9-14-6-2-8-10-11-13
63,495540,409620,43,810,4,9-5-13-4-2-8-6-11-7-3-10-12-1-14-15
64,478424,410242,32,810,3,1-11-4-10-14-3-7-8-12-2-5-6-13-15-9
65,518312,394888,41,810,4,14-11-13-8-2-4-6-7-5-1-9-10-15-12-3
66,489188,418544,39,810,5,4-9-8-11-2-1-5-3-6-10-15-14-12-13-7
67,488936,412220,48,810,6,8-4-3-2-9-11-1-15-7-13-5-10-6-12-14
68,504702,405326,41,810,4,9-10-13-8-1-7-5-12-11-15-6-4-2-3-14
69,487512,413626,50,810,5,14-4-10-2-15-8-3-5-1-11-13-9-7-6-12
70,497780,413230,46,810,5,7-1-13-8-11-6-2-10-9-4-14-15-3-5-12
71,483344,403214,45,810,5,8-11-14-6-13-12-2-3-15-1-9-10-7-4-5
72,498448,403362,56,810,6,14-9-13-15-5-6-2-3-1-4-11-7-8-10-12
73,518288,400400,50,810,5,11-6-13-12-8-5-7-1-9-10-15-14-3-2-4
74,468928,418408,40,810,4,15-11-6-9-14-1-2-10-13-5-8-7-3-4-12
75,508176,410728,51,810,5,12-1-2-8-10-7-5-14-13-11-6-15-3-9-4
76,500346,410604,37,810,4,5-8-7-10-12-15-14-6-4-9-1-11-2-3-13
77,524534,401500,47,810,5,11-3-12-5-15-10-9-4-8-6-2-14-1-7-13
78,496378,402906,39,810,4,2-3-12-1-14-11-4-5-10-7-9-13-8-15-6
79,495458,411234,42,810,4,5-13-6-1-7-10-3-4-8-14-2-12-11-9-15
80,461622,403942,44,810,4,11-7-1-12-13-2-14-3-10-9-4-6-8-5-15
81,494750,395524,33,810,3,10-11-15-1-4-5-7-2-12-8-3-14-6-13-9
82,506796,416516,43,810,4,7-10-13-5-15-2-6-12-9-4-1-11-3-14-8
83,477204,413868,40,810,4,4-9-7-11-10-8-3-2-13-6-14-5-15-1-12
84,522762,413704,50,810,5,7-6-13-11-10-8-9-12-5-2-1-14-3-4-15
85,505328,401252,54,810,6,5-3-10-2-7-1-9-11-12-8-6-4-13-15-14
86,470906,410062,51,810,5,1-11-5-9-2-8-6-7-4-12-15-14-3-13-10
87,487574,405704,44,810,4,7-3-5-13-12-11-4-9-10-15-6-2-8-1-14
88,520636,402186,48,810,5,15-10-3-4-5-9-7-8-6-13-14-2-12-1-11
89,497872,401490,49,810,5,11-6-13-1-8-5-7-10-9-4-15-14-3-2-12
